
"Time";"HTI878";
"13/03/2018  17:57:55";"44,856";
"13/03/2018  19:29:53";"45,315";
"13/03/2018  21:29:53";"44,820";
"13/03/2018  23:29:53";"44,705";
"14/03/2018  01:27:53";"44,705";
"14/03/2018  03:27:53";"44,663";
"14/03/2018  05:21:54";"45,013";
"14/03/2018  07:21:53";"44,705";
"14/03/2018  09:19:53";"44,856";
"14/03/2018  11:17:53";"45,122";
"14/03/2018  13:15:53";"45,164";
"14/03/2018  15:15:53";"45,393";
"14/03/2018  17:13:53";"44,976";
"14/03/2018  19:13:53";"45,122";
"14/03/2018  21:13:53";"44,976";
"14/03/2018  23:11:53";"45,013";
"15/03/2018  01:11:53";"44,663";
"15/03/2018  03:11:53";"45,122";
"15/03/2018  05:11:53";"45,471";
"15/03/2018  07:09:53";"45,581";
"15/03/2018  09:09:53";"45,581";
"15/03/2018  11:07:53";"45,550";
"15/03/2018  13:07:53";"45,435";
"15/03/2018  15:05:53";"45,393";
"15/03/2018  17:05:53";"45,164";
"15/03/2018  19:03:53";"45,315";
"15/03/2018  21:01:53";"45,122";
"15/03/2018  22:59:53";"45,164";
"16/03/2018  00:59:53";"45,315";
"16/03/2018  02:57:53";"45,013";
"16/03/2018  04:57:53";"44,663";
"16/03/2018  06:55:53";"44,856";
"16/03/2018  08:55:53";"45,164";
"16/03/2018  10:55:53";"45,091";
"16/03/2018  12:55:53";"45,278";
"16/03/2018  14:55:53";"45,164";
"16/03/2018  16:53:53";"45,315";
"16/03/2018  18:53:53";"45,315";
"16/03/2018  20:51:53";"45,242";
"16/03/2018  22:51:53";"44,976";
"17/03/2018  00:49:53";"44,976";
"17/03/2018  02:49:53";"44,976";
"17/03/2018  04:49:53";"44,820";
"17/03/2018  06:49:53";"44,517";
"17/03/2018  08:47:53";"44,554";
"17/03/2018  10:45:53";"44,361";
"17/03/2018  12:43:53";"44,554";
"17/03/2018  14:43:53";"44,517";
"17/03/2018  16:43:53";"44,517";
"17/03/2018  18:43:53";"44,663";
"17/03/2018  20:43:53";"44,361";
"17/03/2018  22:43:53";"44,476";
"18/03/2018  00:43:53";"44,820";
"18/03/2018  02:43:53";"44,778";
"18/03/2018  04:41:53";"44,517";
"18/03/2018  06:41:53";"44,361";
"18/03/2018  08:39:53";"44,361";
"18/03/2018  10:39:53";"44,554";
"18/03/2018  12:37:53";"44,361";
"18/03/2018  14:35:53";"44,705";
"18/03/2018  16:35:53";"44,361";
"18/03/2018  18:33:53";"44,554";
"18/03/2018  20:33:53";"44,361";
"18/03/2018  22:31:53";"44,554";
"19/03/2018  00:31:53";"44,554";
"19/03/2018  02:29:53";"44,204";
"19/03/2018  04:29:53";"44,397";
"19/03/2018  06:27:53";"44,517";
"19/03/2018  08:27:53";"44,361";
"19/03/2018  10:27:53";"44,361";
"19/03/2018  12:25:53";"44,517";
"19/03/2018  14:23:53";"44,246";
"19/03/2018  16:23:53";"44,397";
"19/03/2018  18:21:53";"44,517";
"19/03/2018  20:21:53";"44,361";
"19/03/2018  22:21:53";"44,397";
"20/03/2018  00:21:53";"44,361";
"20/03/2018  02:19:53";"44,361";
"20/03/2018  04:17:53";"44,397";
"20/03/2018  06:15:53";"44,517";
"20/03/2018  08:15:53";"44,554";
"20/03/2018  10:13:53";"44,554";
"20/03/2018  12:13:53";"44,204";
"20/03/2018  14:11:53";"43,939";
"20/03/2018  16:09:53";"43,939";
"20/03/2018  18:09:53";"43,746";
"20/03/2018  20:07:53";"43,746";
"20/03/2018  21:55:53";"44,048";
"20/03/2018  23:55:53";"44,048";
"21/03/2018  01:53:53";"43,939";
"21/03/2018  03:53:53";"44,048";
"21/03/2018  04:31:53";"44,246";
"21/03/2018  06:29:53";"44,090";
"21/03/2018  08:29:53";"44,204";
"21/03/2018  10:27:53";"44,090";
"21/03/2018  12:25:53";"44,361";
"21/03/2018  13:59:53";"43,902";
"21/03/2018  15:57:53";"43,746";
"21/03/2018  17:57:53";"44,204";
"21/03/2018  19:55:53";"44,048";
"21/03/2018  21:53:53";"44,048";
"21/03/2018  23:53:53";"44,048";
"22/03/2018  01:51:53";"44,168";
"22/03/2018  03:49:53";"44,246";
"22/03/2018  05:33:53";"43,782";
"22/03/2018  07:31:53";"43,782";
"22/03/2018  09:25:53";"44,168";
"22/03/2018  11:25:53";"43,746";
"22/03/2018  12:13:53";"43,402";
"22/03/2018  12:17:53";"43,443";
"22/03/2018  13:01:53";"43,902";
"22/03/2018  14:11:53";"44,361";
"22/03/2018  16:11:53";"44,361";
"22/03/2018  18:09:53";"44,090";
"22/03/2018  20:09:53";"43,939";
"22/03/2018  22:07:53";"44,090";
"23/03/2018  00:07:53";"43,746";
"23/03/2018  02:05:53";"43,746";
"23/03/2018  04:03:54";"43,939";
"23/03/2018  06:03:53";"43,939";
"23/03/2018  08:03:53";"44,090";
"23/03/2018  09:31:53";"44,554";
"23/03/2018  11:31:53";"44,517";
"23/03/2018  12:15:53";"44,554";
"23/03/2018  12:15:53";"44,554";
"23/03/2018  12:17:19";"44,554";
"23/03/2018  14:17:17";"44,820";
"23/03/2018  16:17:17";"44,554";
"23/03/2018  18:17:17";"44,554";
"23/03/2018  20:17:17";"44,517";
"23/03/2018  22:15:17";"44,204";
"24/03/2018  00:15:17";"44,048";
"24/03/2018  02:07:17";"44,361";
"24/03/2018  03:47:17";"44,017";
"24/03/2018  05:45:17";"43,824";
"24/03/2018  07:45:17";"43,589";
"24/03/2018  08:13:17";"44,017";
"24/03/2018  09:53:17";"44,204";
