
"Time";"HTI879B";
"13/03/2018  17:57:55";"51,770";
"13/03/2018  19:57:53";"51,617";
"13/03/2018  21:49:53";"51,312";
"13/03/2018  23:47:53";"51,312";
"14/03/2018  01:45:53";"51,152";
"14/03/2018  03:43:53";"51,007";
"14/03/2018  05:41:53";"51,312";
"14/03/2018  06:45:53";"50,847";
"14/03/2018  08:45:53";"51,152";
"14/03/2018  10:27:53";"51,465";
"14/03/2018  11:49:53";"51,770";
"14/03/2018  13:41:53";"51,964";
"14/03/2018  14:15:53";"52,388";
"14/03/2018  16:13:53";"52,540";
"14/03/2018  18:07:53";"52,277";
"14/03/2018  19:03:53";"51,930";
"14/03/2018  20:19:53";"51,465";
"14/03/2018  22:17:53";"51,659";
"14/03/2018  23:05:53";"51,347";
"15/03/2018  00:29:53";"50,847";
"15/03/2018  02:27:53";"51,041";
"15/03/2018  03:35:53";"51,465";
"15/03/2018  05:35:53";"51,964";
"15/03/2018  07:33:53";"52,082";
"15/03/2018  08:49:53";"51,805";
"15/03/2018  09:23:53";"52,117";
"15/03/2018  11:23:53";"52,422";
"15/03/2018  13:21:53";"52,422";
"15/03/2018  15:21:53";"52,693";
"15/03/2018  17:07:53";"52,235";
"15/03/2018  19:05:53";"52,117";
"15/03/2018  21:03:53";"52,082";
"15/03/2018  23:01:53";"52,082";
"15/03/2018  23:39:53";"51,930";
"16/03/2018  01:37:53";"52,235";
"16/03/2018  02:09:53";"51,964";
"16/03/2018  04:09:53";"51,770";
"16/03/2018  04:45:53";"51,312";
"16/03/2018  06:45:53";"51,007";
"16/03/2018  07:35:53";"51,312";
"16/03/2018  09:25:53";"51,770";
"16/03/2018  11:23:53";"51,659";
"16/03/2018  12:23:53";"52,117";
"16/03/2018  14:23:53";"52,235";
"16/03/2018  16:23:53";"52,388";
"16/03/2018  18:23:53";"52,540";
"16/03/2018  18:25:53";"51,930";
"16/03/2018  18:41:53";"52,422";
"16/03/2018  20:05:53";"51,930";
"16/03/2018  22:05:53";"51,770";
"17/03/2018  00:05:53";"51,617";
"17/03/2018  01:41:53";"51,312";
"17/03/2018  03:39:53";"50,847";
"17/03/2018  05:39:53";"50,694";
"17/03/2018  07:37:53";"51,007";
"17/03/2018  09:37:53";"50,847";
"17/03/2018  11:37:53";"50,847";
"17/03/2018  12:09:53";"51,312";
"17/03/2018  14:09:53";"51,465";
"17/03/2018  16:09:53";"51,312";
"17/03/2018  18:09:53";"51,312";
"17/03/2018  19:35:53";"51,041";
"17/03/2018  21:25:53";"50,847";
"17/03/2018  23:25:53";"51,041";
"18/03/2018  01:23:53";"50,583";
"18/03/2018  03:23:53";"50,424";
"18/03/2018  05:21:53";"50,236";
"18/03/2018  07:21:53";"50,694";
"18/03/2018  09:21:53";"50,535";
"18/03/2018  11:19:53";"50,694";
"18/03/2018  13:19:53";"50,694";
"18/03/2018  15:17:53";"50,847";
"18/03/2018  17:15:53";"50,694";
"18/03/2018  19:13:53";"50,389";
"18/03/2018  21:13:53";"50,236";
"18/03/2018  23:13:53";"49,771";
"19/03/2018  01:13:53";"50,077";
"19/03/2018  03:11:53";"50,077";
"19/03/2018  05:11:53";"49,931";
"19/03/2018  07:11:53";"49,931";
"19/03/2018  09:11:53";"50,389";
"19/03/2018  11:11:53";"50,535";
