
"Time";"HTI884A";
"13/03/2018  17:57:55";"71,095";
"13/03/2018  19:57:53";"70,631";
"13/03/2018  19:59:53";"71,252";
"13/03/2018  20:53:53";"70,902";
"13/03/2018  21:05:53";"71,210";
"13/03/2018  21:49:53";"71,252";
"13/03/2018  21:51:53";"70,470";
"13/03/2018  21:55:53";"71,252";
"13/03/2018  22:13:53";"71,366";
"13/03/2018  22:15:53";"70,746";
"13/03/2018  22:31:53";"70,746";
"13/03/2018  22:33:53";"71,523";
"13/03/2018  22:37:53";"71,173";
"13/03/2018  22:47:53";"71,210";
"13/03/2018  22:49:53";"70,595";
"13/03/2018  22:55:53";"70,709";
"13/03/2018  22:57:53";"71,330";
"13/03/2018  23:15:53";"71,252";
"13/03/2018  23:19:53";"70,631";
"13/03/2018  23:29:53";"70,788";
"13/03/2018  23:31:53";"71,408";
"13/03/2018  23:37:53";"70,746";
"13/03/2018  23:45:53";"71,059";
"13/03/2018  23:47:53";"70,084";
"13/03/2018  23:49:53";"71,210";
"14/03/2018  00:09:53";"71,252";
"14/03/2018  00:11:53";"70,631";
"14/03/2018  00:13:53";"71,210";
"14/03/2018  00:15:53";"70,470";
"14/03/2018  00:19:53";"71,252";
"14/03/2018  00:21:53";"70,470";
"14/03/2018  00:23:53";"71,252";
"14/03/2018  00:33:53";"71,210";
"14/03/2018  00:43:53";"71,059";
"14/03/2018  00:45:53";"70,277";
"14/03/2018  00:47:53";"71,210";
"14/03/2018  01:11:53";"71,059";
"14/03/2018  01:41:53";"71,059";
"14/03/2018  01:43:53";"70,324";
"14/03/2018  01:47:53";"71,059";
"14/03/2018  02:39:53";"70,902";
"14/03/2018  02:41:53";"70,324";
"14/03/2018  02:43:53";"70,939";
"14/03/2018  03:37:53";"70,788";
"14/03/2018  03:49:53";"70,631";
"14/03/2018  03:51:53";"71,408";
"14/03/2018  03:53:53";"70,902";
"14/03/2018  03:55:53";"71,408";
"14/03/2018  04:01:53";"71,059";
"14/03/2018  04:03:53";"70,470";
"14/03/2018  04:09:53";"70,470";
"14/03/2018  04:11:53";"71,095";
"14/03/2018  04:13:53";"70,470";
"14/03/2018  04:15:53";"71,095";
"14/03/2018  04:25:53";"71,095";
"14/03/2018  04:27:53";"70,470";
"14/03/2018  04:29:53";"71,252";
"14/03/2018  04:33:53";"70,631";
"14/03/2018  04:47:53";"70,631";
"14/03/2018  04:49:53";"71,252";
"14/03/2018  04:55:53";"70,902";
"14/03/2018  05:05:53";"70,746";
"14/03/2018  05:17:53";"70,746";
"14/03/2018  05:19:54";"71,523";
"14/03/2018  05:29:53";"71,366";
"14/03/2018  05:33:53";"71,210";
"14/03/2018  05:35:53";"70,595";
"14/03/2018  05:49:53";"71,210";
"14/03/2018  06:03:53";"70,939";
"14/03/2018  06:05:53";"70,162";
"14/03/2018  06:07:53";"71,252";
"14/03/2018  06:13:53";"71,095";
"14/03/2018  06:31:53";"71,059";
"14/03/2018  06:33:53";"70,438";
"14/03/2018  06:37:53";"71,210";
"14/03/2018  07:01:53";"70,902";
"14/03/2018  07:03:53";"70,277";
"14/03/2018  07:05:53";"71,059";
"14/03/2018  07:59:53";"70,939";
"14/03/2018  08:01:53";"70,277";
"14/03/2018  08:03:53";"71,252";
"14/03/2018  08:17:53";"71,059";
"14/03/2018  08:27:53";"70,866";
"14/03/2018  08:29:53";"70,277";
"14/03/2018  08:33:53";"71,059";
"14/03/2018  08:57:53";"70,902";
"14/03/2018  09:09:53";"70,902";
"14/03/2018  09:11:53";"71,408";
"14/03/2018  09:25:53";"70,939";
"14/03/2018  09:47:53";"71,252";
"14/03/2018  10:23:53";"71,408";
"14/03/2018  10:25:53";"70,631";
"14/03/2018  10:27:53";"71,523";
"14/03/2018  10:51:53";"71,408";
"14/03/2018  11:11:53";"71,523";
"14/03/2018  11:13:53";"70,902";
"14/03/2018  11:15:53";"71,523";
"14/03/2018  11:23:53";"70,438";
"14/03/2018  11:25:53";"71,366";
"14/03/2018  11:49:53";"71,252";
"14/03/2018  11:51:53";"70,746";
"14/03/2018  11:53:53";"71,408";
"14/03/2018  12:47:53";"71,408";
"14/03/2018  12:49:53";"70,788";
"14/03/2018  12:51:53";"71,523";
"14/03/2018  13:17:53";"71,095";
"14/03/2018  13:29:53";"71,252";
"14/03/2018  13:57:53";"71,210";
"14/03/2018  13:59:53";"71,830";
"14/03/2018  14:13:53";"71,523";
"14/03/2018  14:15:53";"71,017";
"14/03/2018  14:19:53";"71,637";
"14/03/2018  14:43:53";"71,366";
"14/03/2018  16:41:53";"70,939";
"14/03/2018  16:45:53";"71,252";
"14/03/2018  17:07:53";"71,095";
"14/03/2018  17:09:53";"70,438";
"14/03/2018  17:11:53";"71,252";
"14/03/2018  17:35:53";"71,210";
"14/03/2018  18:05:53";"71,252";
"14/03/2018  18:07:53";"70,631";
"14/03/2018  18:09:53";"71,366";
"14/03/2018  18:15:53";"71,408";
"14/03/2018  18:17:53";"70,788";
"14/03/2018  18:19:53";"71,716";
"14/03/2018  18:21:53";"71,095";
"14/03/2018  19:31:53";"71,059";
"14/03/2018  20:29:53";"70,709";
"14/03/2018  20:37:53";"70,902";
"14/03/2018  20:41:53";"70,746";
"14/03/2018  20:43:53";"71,523";
"14/03/2018  20:45:53";"70,939";
"14/03/2018  21:19:53";"70,709";
"14/03/2018  21:21:53";"71,481";
"14/03/2018  21:29:53";"70,402";
"14/03/2018  21:31:53";"71,210";
"14/03/2018  22:09:53";"71,252";
"14/03/2018  22:25:53";"71,210";
"14/03/2018  22:27:53";"70,438";
"14/03/2018  22:29:53";"71,366";
"14/03/2018  22:35:53";"71,366";
"14/03/2018  22:37:53";"70,746";
"14/03/2018  22:39:53";"71,679";
"14/03/2018  22:43:53";"71,523";
"14/03/2018  22:49:53";"71,523";
"14/03/2018  22:51:53";"70,866";
"14/03/2018  22:57:53";"70,866";
"14/03/2018  22:59:53";"71,366";
"14/03/2018  23:13:53";"71,210";
"14/03/2018  23:23:53";"71,059";
"14/03/2018  23:25:53";"70,438";
"14/03/2018  23:27:53";"71,210";
"14/03/2018  23:51:53";"71,059";
"14/03/2018  23:53:53";"70,438";
"14/03/2018  23:55:53";"71,095";
"15/03/2018  00:15:53";"71,408";
"15/03/2018  00:17:53";"70,470";
"15/03/2018  00:23:53";"70,470";
"15/03/2018  00:25:53";"71,095";
"15/03/2018  00:27:53";"70,595";
"15/03/2018  00:33:53";"70,595";
"15/03/2018  00:35:53";"71,210";
"15/03/2018  00:39:53";"71,210";
"15/03/2018  00:41:53";"70,470";
"15/03/2018  00:43:53";"71,095";
"15/03/2018  00:51:53";"70,438";
"15/03/2018  00:57:53";"70,595";
"15/03/2018  01:01:53";"70,438";
"15/03/2018  01:03:53";"71,523";
"15/03/2018  01:05:53";"70,902";
"15/03/2018  01:17:53";"70,939";
"15/03/2018  01:19:53";"70,324";
"15/03/2018  01:35:53";"71,059";
"15/03/2018  01:47:53";"70,902";
"15/03/2018  01:49:53";"70,277";
"15/03/2018  01:51:53";"71,059";
"15/03/2018  02:15:53";"71,059";
"15/03/2018  02:17:53";"70,324";
"15/03/2018  02:21:53";"71,095";
"15/03/2018  02:35:53";"71,366";
"15/03/2018  02:37:53";"70,595";
"15/03/2018  02:39:53";"71,408";
"15/03/2018  02:41:53";"70,902";
"15/03/2018  03:45:53";"70,746";
"15/03/2018  03:47:53";"71,523";
"15/03/2018  03:53:53";"71,408";
"15/03/2018  04:07:53";"71,366";
"15/03/2018  04:11:53";"71,366";
"15/03/2018  04:13:53";"70,595";
"15/03/2018  04:15:53";"71,252";
"15/03/2018  04:41:53";"71,210";
"15/03/2018  05:39:53";"70,866";
"15/03/2018  05:41:53";"70,709";
"15/03/2018  05:43:53";"71,481";
"15/03/2018  05:45:53";"70,866";
"15/03/2018  05:47:53";"71,481";
"15/03/2018  06:07:53";"71,288";
"15/03/2018  06:09:53";"70,709";
"15/03/2018  06:11:53";"71,481";
"15/03/2018  07:05:53";"71,523";
"15/03/2018  07:07:53";"70,902";
"15/03/2018  07:09:53";"71,679";
"15/03/2018  07:33:53";"71,523";
"15/03/2018  07:39:53";"71,481";
"15/03/2018  08:03:53";"71,210";
"15/03/2018  08:23:53";"71,095";
"15/03/2018  08:25:53";"71,716";
"15/03/2018  08:39:53";"71,059";
"15/03/2018  08:43:53";"70,902";
"15/03/2018  08:45:53";"71,830";
"15/03/2018  08:47:53";"71,210";
"15/03/2018  08:53:53";"71,210";
"15/03/2018  08:55:53";"71,830";
"15/03/2018  08:57:53";"71,095";
"15/03/2018  09:03:53";"70,939";
"15/03/2018  09:05:53";"71,679";
"15/03/2018  09:29:53";"71,679";
"15/03/2018  09:31:53";"71,059";
"15/03/2018  09:33:53";"71,679";
"15/03/2018  10:27:53";"71,637";
"15/03/2018  11:25:53";"71,523";
"15/03/2018  11:27:53";"70,902";
"15/03/2018  11:29:53";"71,637";
"15/03/2018  11:53:53";"71,481";
"15/03/2018  13:03:53";"71,330";
"15/03/2018  13:05:53";"71,987";
"15/03/2018  13:19:53";"71,679";
"15/03/2018  13:23:53";"71,173";
"15/03/2018  13:33:53";"71,481";
"15/03/2018  13:49:53";"71,330";
"15/03/2018  14:17:53";"71,288";
"15/03/2018  14:29:53";"71,173";
"15/03/2018  14:31:53";"71,794";
"15/03/2018  14:39:53";"71,173";
"15/03/2018  14:59:53";"71,288";
"15/03/2018  15:01:53";"71,794";
"15/03/2018  15:07:53";"71,173";
"15/03/2018  15:31:53";"71,366";
"15/03/2018  15:43:53";"71,330";
"15/03/2018  16:13:53";"71,210";
"15/03/2018  16:41:53";"71,210";
"15/03/2018  16:43:53";"70,595";
