
"Time";"HTI889G";
"13/03/2018  17:57:55";"52,692";
"13/03/2018  19:57:53";"53,005";
"13/03/2018  21:57:53";"52,692";
"13/03/2018  23:57:53";"52,499";
"14/03/2018  01:55:53";"52,499";
"14/03/2018  03:53:53";"52,499";
"14/03/2018  05:53:53";"52,655";
"14/03/2018  07:51:53";"52,546";
"14/03/2018  09:49:53";"52,692";
"14/03/2018  11:49:53";"53,156";
"14/03/2018  13:49:53";"53,156";
"14/03/2018  15:47:53";"53,422";
"14/03/2018  17:39:53";"52,963";
"14/03/2018  19:37:53";"52,927";
"14/03/2018  21:37:53";"53,005";
"14/03/2018  23:35:53";"52,812";
"15/03/2018  01:33:53";"52,655";
"15/03/2018  03:33:53";"53,119";
"15/03/2018  05:33:53";"53,083";
"15/03/2018  07:31:53";"53,422";
"15/03/2018  09:29:53";"53,578";
"15/03/2018  11:29:53";"53,385";
"15/03/2018  13:27:53";"53,354";
"15/03/2018  15:25:53";"53,083";
"15/03/2018  17:25:53";"52,963";
"15/03/2018  19:25:53";"52,963";
"15/03/2018  21:23:53";"52,963";
"15/03/2018  23:21:53";"52,963";
"16/03/2018  01:21:53";"53,156";
"16/03/2018  03:21:53";"53,005";
"16/03/2018  04:49:53";"52,655";
"16/03/2018  06:49:53";"52,546";
"16/03/2018  08:49:53";"52,848";
"16/03/2018  10:47:53";"53,005";
"16/03/2018  12:45:53";"53,119";
"16/03/2018  14:45:53";"53,312";
"16/03/2018  16:43:53";"53,119";
"16/03/2018  18:43:53";"52,848";
"16/03/2018  20:41:53";"52,812";
"16/03/2018  22:39:53";"52,468";
"17/03/2018  00:39:53";"52,655";
"17/03/2018  02:37:53";"52,546";
"17/03/2018  04:35:53";"52,197";
"17/03/2018  06:35:53";"52,197";
"17/03/2018  08:33:53";"51,926";
"17/03/2018  10:31:53";"52,233";
"17/03/2018  12:31:53";"52,343";
"17/03/2018  14:31:53";"52,499";
"17/03/2018  16:31:53";"52,343";
"17/03/2018  18:31:53";"52,311";
"17/03/2018  20:29:53";"52,040";
"17/03/2018  22:27:53";"52,197";
"18/03/2018  00:27:53";"52,468";
"18/03/2018  02:27:53";"52,155";
"18/03/2018  04:25:53";"52,040";
"18/03/2018  06:23:53";"51,884";
"18/03/2018  08:13:53";"52,082";
"18/03/2018  10:11:53";"52,040";
"18/03/2018  12:09:53";"51,884";
"18/03/2018  14:09:53";"52,040";
"18/03/2018  16:07:53";"52,040";
"18/03/2018  18:05:53";"51,884";
"18/03/2018  20:05:53";"51,581";
"18/03/2018  22:05:53";"51,926";
"18/03/2018  22:37:53";"51,581";
"19/03/2018  00:35:53";"51,769";
"19/03/2018  02:35:53";"51,581";
"19/03/2018  04:35:53";"51,769";
"19/03/2018  06:33:53";"51,581";
"19/03/2018  08:31:53";"51,769";
"19/03/2018  10:31:53";"51,884";
"19/03/2018  12:31:53";"52,233";
"19/03/2018  14:29:53";"52,233";
"19/03/2018  16:29:53";"52,082";
"19/03/2018  18:29:53";"52,040";
"19/03/2018  20:27:53";"51,884";
"19/03/2018  22:25:53";"51,926";
"20/03/2018  00:23:53";"51,884";
"20/03/2018  02:23:53";"51,691";
"20/03/2018  04:21:53";"51,926";
"20/03/2018  06:21:53";"52,233";
"20/03/2018  08:21:53";"51,926";
"20/03/2018  10:21:53";"51,613";
"20/03/2018  12:19:53";"51,581";
"20/03/2018  14:17:53";"51,310";
"20/03/2018  16:17:53";"51,117";
"20/03/2018  18:17:53";"51,003";
