
"Time";"HTI886";
"13/03/2018  17:57:55";"70,166";
"13/03/2018  19:27:53";"69,698";
"13/03/2018  19:29:53";"69,542";
"13/03/2018  19:31:53";"70,434";
"13/03/2018  19:37:53";"69,971";
"13/03/2018  19:55:53";"69,859";
"13/03/2018  20:39:53";"70,322";
"13/03/2018  20:43:53";"70,005";
"13/03/2018  20:53:53";"69,815";
"13/03/2018  21:09:53";"70,122";
"13/03/2018  21:21:53";"69,659";
"13/03/2018  21:23:53";"69,386";
"13/03/2018  21:25:53";"70,278";
"13/03/2018  21:31:53";"70,322";
"13/03/2018  21:33:53";"69,542";
"13/03/2018  21:35:53";"70,278";
"13/03/2018  21:49:53";"69,859";
"13/03/2018  21:51:53";"69,235";
"13/03/2018  21:55:53";"70,005";
"13/03/2018  22:09:53";"69,815";
"13/03/2018  22:19:53";"69,815";
"13/03/2018  22:21:53";"69,313";
"13/03/2018  22:25:53";"69,659";
"13/03/2018  22:27:53";"70,278";
"13/03/2018  22:37:53";"70,244";
"13/03/2018  22:39:53";"69,508";
"13/03/2018  22:41:53";"70,278";
"13/03/2018  22:43:53";"70,278";
"13/03/2018  22:45:53";"69,508";
"13/03/2018  22:51:53";"69,971";
"13/03/2018  22:53:53";"70,244";
"13/03/2018  22:55:53";"69,464";
"13/03/2018  22:57:53";"70,400";
"13/03/2018  22:59:53";"69,815";
"13/03/2018  23:01:53";"70,434";
"13/03/2018  23:09:53";"69,542";
"13/03/2018  23:11:53";"70,473";
"13/03/2018  23:13:53";"69,659";
"13/03/2018  23:19:53";"69,386";
"13/03/2018  23:21:53";"70,322";
"13/03/2018  23:23:53";"69,508";
"13/03/2018  23:29:53";"69,542";
"13/03/2018  23:31:53";"70,166";
"13/03/2018  23:35:53";"70,122";
"13/03/2018  23:37:53";"69,347";
"13/03/2018  23:39:53";"70,122";
"13/03/2018  23:45:53";"69,815";
"13/03/2018  23:47:53";"68,840";
"13/03/2018  23:49:53";"69,815";
"13/03/2018  23:57:53";"69,659";
"13/03/2018  23:59:53";"70,473";
"14/03/2018  00:01:53";"69,815";
"14/03/2018  00:25:53";"69,542";
"14/03/2018  00:27:53";"70,322";
"14/03/2018  00:43:53";"69,971";
"14/03/2018  00:45:53";"69,191";
"14/03/2018  00:47:53";"70,278";
"14/03/2018  00:53:53";"70,322";
"14/03/2018  00:55:53";"69,698";
"14/03/2018  00:57:53";"70,473";
"14/03/2018  01:01:53";"70,595";
