
"Time";"HTI888A";
"13/03/2018  17:57:55";"58,865";
"13/03/2018  19:57:53";"58,708";
"13/03/2018  21:57:53";"58,552";
"13/03/2018  23:57:53";"58,359";
"14/03/2018  01:55:53";"58,515";
"14/03/2018  03:53:53";"58,515";
"14/03/2018  05:53:53";"58,823";
"14/03/2018  07:01:53";"58,359";
"14/03/2018  09:01:53";"58,666";
"14/03/2018  10:59:53";"58,823";
"14/03/2018  12:31:53";"59,016";
"14/03/2018  14:31:53";"59,250";
"14/03/2018  16:29:53";"59,329";
"14/03/2018  17:07:53";"59,016";
"14/03/2018  19:07:53";"58,865";
"14/03/2018  21:07:53";"58,666";
"14/03/2018  23:07:53";"58,666";
"15/03/2018  01:07:53";"58,666";
"15/03/2018  03:05:53";"58,666";
"15/03/2018  03:59:53";"58,865";
"15/03/2018  05:59:53";"59,094";
"15/03/2018  07:59:53";"59,287";
"15/03/2018  09:57:53";"59,443";
"15/03/2018  11:55:53";"59,250";
"15/03/2018  13:55:53";"59,209";
"15/03/2018  15:53:53";"59,094";
"15/03/2018  17:53:53";"59,016";
"15/03/2018  19:51:53";"58,865";
"15/03/2018  21:51:53";"58,865";
"15/03/2018  23:49:53";"58,979";
"16/03/2018  01:47:53";"58,979";
"16/03/2018  03:47:53";"58,708";
"16/03/2018  05:47:53";"58,515";
"16/03/2018  07:47:53";"58,666";
"16/03/2018  09:45:53";"58,823";
"16/03/2018  11:43:53";"58,823";
"16/03/2018  13:27:53";"59,172";
"16/03/2018  15:25:53";"59,250";
"16/03/2018  17:23:53";"59,130";
"16/03/2018  19:23:53";"58,979";
"16/03/2018  21:23:53";"58,938";
"16/03/2018  23:21:53";"58,823";
"17/03/2018  01:21:53";"58,515";
"17/03/2018  03:19:53";"58,249";
"17/03/2018  05:19:53";"58,088";
"17/03/2018  07:19:53";"58,328";
"17/03/2018  09:17:53";"58,202";
"17/03/2018  11:17:53";"58,395";
"17/03/2018  13:17:53";"58,328";
"17/03/2018  13:27:53";"58,552";
"17/03/2018  15:27:53";"58,395";
"17/03/2018  17:25:53";"58,395";
"17/03/2018  19:25:53";"58,359";
"17/03/2018  21:23:53";"58,359";
"17/03/2018  23:23:53";"58,474";
"18/03/2018  01:21:53";"58,202";
"18/03/2018  03:21:53";"58,166";
"18/03/2018  05:19:53";"58,088";
"18/03/2018  07:17:53";"58,202";
"18/03/2018  09:17:53";"58,359";
"18/03/2018  11:17:53";"58,202";
"18/03/2018  13:15:53";"58,202";
"18/03/2018  15:15:53";"58,249";
"18/03/2018  17:13:53";"58,088";
"18/03/2018  19:13:53";"58,057";
"18/03/2018  21:13:53";"57,744";
"18/03/2018  23:13:53";"57,853";
"19/03/2018  01:13:53";"57,931";
"19/03/2018  03:11:53";"57,900";
"19/03/2018  05:11:53";"57,931";
"19/03/2018  07:11:53";"57,785";
"19/03/2018  09:11:53";"57,931";
"19/03/2018  11:11:53";"58,249";
"19/03/2018  13:11:53";"58,515";
"19/03/2018  13:35:53";"58,359";
"19/03/2018  13:39:53";"57,744";
"19/03/2018  14:47:53";"57,744";
"19/03/2018  14:49:53";"58,515";
"19/03/2018  16:47:53";"58,395";
"19/03/2018  18:47:53";"58,202";
"19/03/2018  20:45:53";"57,900";
"19/03/2018  22:43:53";"57,931";
"20/03/2018  00:41:53";"57,931";
"20/03/2018  02:41:53";"57,744";
"20/03/2018  03:47:53";"58,088";
"20/03/2018  05:47:53";"57,900";
"20/03/2018  07:45:53";"58,057";
"20/03/2018  09:45:53";"57,744";
"20/03/2018  11:45:53";"57,931";
"20/03/2018  13:05:53";"57,436";
"20/03/2018  15:05:53";"57,629";
"20/03/2018  17:05:53";"57,316";
"20/03/2018  19:03:53";"57,316";
"20/03/2018  21:01:53";"57,436";
"20/03/2018  22:59:53";"57,629";
"21/03/2018  00:57:53";"57,744";
"21/03/2018  02:57:53";"57,551";
"21/03/2018  04:57:53";"57,587";
"21/03/2018  06:57:53";"57,900";
"21/03/2018  08:35:53";"57,436";
"21/03/2018  10:35:53";"57,707";
"21/03/2018  12:33:53";"57,587";
"21/03/2018  13:45:53";"57,123";
"21/03/2018  15:43:53";"56,659";
"21/03/2018  17:43:53";"57,087";
"21/03/2018  19:43:53";"57,165";
"21/03/2018  21:41:53";"57,394";
"21/03/2018  23:41:53";"57,587";
"22/03/2018  01:39:53";"57,629";
"22/03/2018  03:39:53";"57,587";
"22/03/2018  05:37:53";"57,165";
"22/03/2018  07:35:53";"57,165";
"22/03/2018  09:35:53";"57,551";
"22/03/2018  11:35:53";"57,123";
"22/03/2018  13:23:53";"57,394";
"22/03/2018  14:01:53";"57,744";
"22/03/2018  16:01:53";"57,900";
"22/03/2018  17:59:53";"57,629";
"22/03/2018  19:57:53";"57,473";
"22/03/2018  21:55:53";"57,473";
"22/03/2018  22:25:53";"57,009";
"23/03/2018  00:23:53";"56,706";
"23/03/2018  02:09:53";"56,972";
"23/03/2018  02:15:53";"57,473";
"23/03/2018  04:13:53";"57,436";
"23/03/2018  06:11:53";"57,629";
"23/03/2018  08:11:53";"57,931";
"23/03/2018  10:11:53";"58,088";
"23/03/2018  12:09:53";"58,202";
"23/03/2018  12:15:53";"58,395";
"23/03/2018  12:15:53";"58,395";
"23/03/2018  12:17:19";"58,249";
"23/03/2018  14:17:17";"58,359";
"23/03/2018  16:17:17";"57,931";
"23/03/2018  18:17:17";"58,088";
"23/03/2018  20:17:17";"58,057";
"23/03/2018  22:15:17";"57,900";
"24/03/2018  00:15:17";"57,587";
"24/03/2018  02:15:17";"57,931";
"24/03/2018  04:11:17";"57,551";
"24/03/2018  06:11:17";"57,551";
"24/03/2018  08:11:17";"57,587";
"24/03/2018  09:59:17";"58,057";
"24/03/2018  11:59:17";"58,166";
"24/03/2018  13:57:17";"58,166";
"24/03/2018  15:57:17";"58,166";
"24/03/2018  17:57:17";"58,202";
"24/03/2018  19:55:17";"57,744";
"24/03/2018  21:55:17";"57,931";
"24/03/2018  23:53:17";"58,057";
"25/03/2018  01:53:17";"57,744";
"25/03/2018  04:51:17";"57,900";
"25/03/2018  06:49:17";"57,785";
"25/03/2018  08:49:17";"57,900";
"25/03/2018  10:47:17";"57,629";
"25/03/2018  12:47:17";"57,587";
"25/03/2018  13:37:17";"57,931";
"25/03/2018  15:37:17";"57,900";
"25/03/2018  17:35:17";"57,744";
"25/03/2018  19:35:17";"57,707";
"25/03/2018  21:33:17";"58,057";
"25/03/2018  23:33:17";"57,900";
"26/03/2018  01:33:17";"57,785";
"26/03/2018  03:31:17";"57,744";
"26/03/2018  04:51:17";"57,436";
"26/03/2018  06:49:17";"57,436";
"26/03/2018  08:47:17";"57,123";
"26/03/2018  08:55:17";"57,587";
"26/03/2018  10:55:17";"57,436";
"26/03/2018  12:53:17";"57,931";
"26/03/2018  14:51:17";"57,931";
"26/03/2018  16:51:17";"57,744";
"26/03/2018  18:51:17";"57,744";
"26/03/2018  20:49:17";"57,744";
"26/03/2018  22:49:17";"58,010";
"27/03/2018  00:47:17";"58,057";
"27/03/2018  02:47:17";"58,088";
"27/03/2018  04:45:17";"57,785";
"27/03/2018  06:45:17";"57,900";
"27/03/2018  08:43:17";"57,900";
"27/03/2018  10:43:17";"58,202";
"27/03/2018  12:43:17";"58,552";
"27/03/2018  14:21:17";"58,088";
"27/03/2018  15:03:17";"58,515";
"27/03/2018  16:01:17";"58,202";
"27/03/2018  17:37:17";"57,822";
"27/03/2018  19:35:17";"58,124";
"27/03/2018  21:33:17";"58,281";
"27/03/2018  23:33:17";"58,328";
"28/03/2018  01:31:17";"58,474";
"28/03/2018  03:29:17";"58,630";
"28/03/2018  05:27:17";"58,474";
"28/03/2018  07:27:17";"58,666";
"28/03/2018  09:25:17";"58,630";
"28/03/2018  11:17:17";"58,823";
"28/03/2018  13:17:17";"59,130";
"28/03/2018  15:17:17";"58,823";
"28/03/2018  15:21:17";"59,287";
"28/03/2018  15:29:17";"58,938";
"28/03/2018  15:55:17";"59,094";
"28/03/2018  16:31:17";"59,443";
"28/03/2018  17:21:17";"59,130";
"28/03/2018  18:33:17";"58,786";
"28/03/2018  20:33:17";"58,515";
"28/03/2018  22:33:17";"58,328";
"29/03/2018  00:31:17";"58,010";
"29/03/2018  02:31:17";"57,744";
"29/03/2018  04:29:17";"57,744";
"29/03/2018  06:27:17";"57,587";
"29/03/2018  08:27:17";"57,629";
"29/03/2018  10:25:17";"57,785";
"29/03/2018  12:25:17";"58,057";
"29/03/2018  14:25:17";"58,515";
"29/03/2018  15:25:17";"58,823";
"29/03/2018  16:31:17";"58,938";
"29/03/2018  16:39:17";"59,287";
"29/03/2018  17:19:17";"59,714";
"29/03/2018  17:43:17";"59,402";
"29/03/2018  17:45:17";"55,085";
"29/03/2018  17:47:17";"51,847";
"29/03/2018  17:55:17";"48,464";
"29/03/2018  18:05:17";"45,972";
"29/03/2018  18:11:17";"45,393";
"29/03/2018  18:15:17";"45,122";
"29/03/2018  18:27:17";"43,746";
"29/03/2018  18:51:17";"41,410";
"29/03/2018  18:59:17";"40,639";
"29/03/2018  19:15:17";"39,267";
"29/03/2018  19:41:17";"37,625";
"29/03/2018  19:49:17";"37,166";
"29/03/2018  20:01:17";"36,515";
"29/03/2018  20:45:17";"34,382";
"29/03/2018  21:03:17";"33,960";
"29/03/2018  21:25:17";"33,157";
"29/03/2018  21:45:17";"32,777";
"29/03/2018  22:01:17";"32,281";
"29/03/2018  22:21:17";"31,823";
"29/03/2018  22:51:17";"31,333";
"29/03/2018  23:23:17";"30,869";
"29/03/2018  23:57:17";"30,488";
"30/03/2018  00:41:17";"30,034";
"30/03/2018  01:13:17";"29,576";
"30/03/2018  01:59:17";"29,122";
"30/03/2018  02:35:17";"28,736";
"30/03/2018  03:45:17";"28,319";
"30/03/2018  05:21:17";"27,824";
"30/03/2018  06:31:17";"27,370";
"30/03/2018  08:29:17";"27,105";
"30/03/2018  10:29:17";"27,412";
"30/03/2018  12:27:17";"27,746";
"30/03/2018  13:55:17";"28,210";
"30/03/2018  15:41:17";"28,622";
"30/03/2018  17:41:17";"29,044";
"30/03/2018  19:41:17";"29,122";
"30/03/2018  21:41:17";"28,814";
"30/03/2018  23:39:17";"28,356";
"31/03/2018  01:35:17";"27,866";
"31/03/2018  02:25:17";"27,443";
"31/03/2018  04:23:17";"26,948";
"31/03/2018  06:21:17";"26,802";
"31/03/2018  08:21:17";"26,839";
"31/03/2018  10:21:17";"26,802";
"31/03/2018  12:21:17";"26,839";
"31/03/2018  13:51:17";"26,343";
"31/03/2018  15:01:17";"25,926";
"31/03/2018  15:43:17";"25,770";
"31/03/2018  15:45:17";"36,859";
"31/03/2018  15:47:17";"43,131";
"31/03/2018  15:49:17";"45,435";
"31/03/2018  15:53:17";"47,619";
"31/03/2018  16:03:17";"50,805";
"31/03/2018  16:35:17";"57,900";
"31/03/2018  16:47:17";"59,287";
"31/03/2018  16:49:17";"59,287";
"31/03/2018  16:51:17";"58,630";
"31/03/2018  16:59:17";"58,057";
"31/03/2018  18:59:17";"57,744";
"31/03/2018  20:57:17";"57,587";
"31/03/2018  22:57:17";"58,057";
