
"Time";"HTI883A";
"13/03/2018  17:57:55";"53,623";
"13/03/2018  19:57:53";"53,464";
"13/03/2018  21:57:53";"53,311";
"13/03/2018  23:57:53";"53,151";
"14/03/2018  01:55:53";"53,311";
"14/03/2018  03:53:53";"53,151";
"14/03/2018  05:53:53";"53,311";
"14/03/2018  07:51:53";"52,846";
"14/03/2018  09:05:53";"53,311";
"14/03/2018  10:33:53";"53,769";
"14/03/2018  11:51:53";"54,234";
"14/03/2018  13:51:53";"54,234";
"14/03/2018  15:51:53";"54,581";
"14/03/2018  17:51:53";"54,234";
"14/03/2018  18:51:53";"53,769";
"14/03/2018  20:39:53";"53,352";
"14/03/2018  22:37:53";"53,352";
"14/03/2018  23:53:53";"53,005";
"15/03/2018  01:53:53";"53,005";
"15/03/2018  03:19:53";"53,498";
"15/03/2018  05:17:53";"53,929";
"15/03/2018  07:17:53";"54,234";
"15/03/2018  08:01:53";"53,769";
"15/03/2018  09:13:53";"54,116";
"15/03/2018  10:07:53";"54,546";
"15/03/2018  12:07:53";"54,734";
"15/03/2018  14:05:53";"54,546";
"15/03/2018  16:05:53";"54,692";
"15/03/2018  18:03:53";"54,421";
"15/03/2018  20:03:53";"54,234";
"15/03/2018  22:03:53";"54,276";
"16/03/2018  00:01:53";"54,276";
"16/03/2018  01:59:53";"54,276";
"16/03/2018  03:57:53";"54,081";
"16/03/2018  04:37:53";"53,623";
"16/03/2018  06:35:53";"53,311";
"16/03/2018  08:15:53";"53,811";
"16/03/2018  10:15:53";"53,963";
"16/03/2018  12:13:53";"54,387";
"16/03/2018  14:13:53";"54,692";
"16/03/2018  16:11:53";"54,387";
"16/03/2018  18:11:53";"54,546";
"16/03/2018  20:11:53";"54,234";
"16/03/2018  22:11:53";"54,081";
"17/03/2018  00:09:53";"53,769";
"17/03/2018  02:07:53";"53,464";
"17/03/2018  04:07:53";"53,151";
"17/03/2018  06:07:53";"53,117";
"17/03/2018  08:05:53";"53,005";
"17/03/2018  10:03:53";"53,193";
"17/03/2018  12:01:53";"53,623";
"17/03/2018  14:01:53";"53,769";
"17/03/2018  15:59:53";"53,623";
"17/03/2018  17:59:53";"53,623";
"17/03/2018  19:11:53";"53,193";
"17/03/2018  21:09:53";"53,040";
"17/03/2018  23:09:53";"53,005";
"18/03/2018  01:07:53";"53,005";
"18/03/2018  03:07:53";"52,887";
"18/03/2018  05:07:53";"52,540";
"18/03/2018  07:05:53";"53,005";
"18/03/2018  09:03:53";"53,005";
"18/03/2018  11:03:53";"53,005";
"18/03/2018  13:01:53";"53,151";
"18/03/2018  14:59:53";"53,464";
"18/03/2018  16:55:53";"53,005";
"18/03/2018  18:53:53";"52,846";
"18/03/2018  20:29:53";"52,388";
"18/03/2018  22:29:53";"52,082";
"19/03/2018  00:29:53";"52,082";
"19/03/2018  02:27:53";"52,235";
"19/03/2018  04:25:53";"51,930";
"19/03/2018  06:23:53";"52,082";
"19/03/2018  08:23:53";"52,388";
"19/03/2018  10:21:54";"52,846";
"19/03/2018  11:45:53";"53,151";
"19/03/2018  13:43:53";"53,311";
"19/03/2018  15:43:53";"53,311";
"19/03/2018  17:41:53";"53,117";
"19/03/2018  19:41:53";"52,693";
"19/03/2018  21:39:53";"52,388";
"19/03/2018  23:39:53";"52,235";
"20/03/2018  01:37:53";"52,082";
"20/03/2018  03:35:53";"52,082";
"20/03/2018  05:35:53";"52,277";
"20/03/2018  07:35:53";"52,540";
"20/03/2018  09:33:53";"52,235";
"20/03/2018  11:33:53";"52,540";
"20/03/2018  13:01:53";"52,082";
"20/03/2018  14:59:53";"52,082";
"20/03/2018  15:49:53";"51,617";
"20/03/2018  16:51:53";"51,152";
"20/03/2018  18:49:53";"51,007";
"20/03/2018  20:17:53";"51,465";
"20/03/2018  22:07:53";"51,930";
"21/03/2018  00:07:53";"52,082";
"21/03/2018  02:05:53";"51,930";
"21/03/2018  04:05:53";"51,770";
"21/03/2018  06:03:53";"51,770";
"21/03/2018  08:03:53";"51,930";
"21/03/2018  10:01:53";"51,964";
"21/03/2018  11:59:53";"52,235";
"21/03/2018  13:39:53";"51,770";
"21/03/2018  15:37:53";"51,312";
"21/03/2018  17:33:53";"51,770";
"21/03/2018  19:33:53";"51,930";
"21/03/2018  21:07:53";"51,465";
"21/03/2018  23:07:53";"51,617";
"22/03/2018  01:05:53";"51,617";
"22/03/2018  03:03:53";"51,930";
"22/03/2018  05:03:53";"51,930";
"22/03/2018  05:27:53";"51,465";
"22/03/2018  07:27:53";"51,617";
"22/03/2018  09:25:53";"51,770";
"22/03/2018  11:25:53";"51,617";
"22/03/2018  13:25:53";"52,082";
"22/03/2018  14:57:53";"52,540";
"22/03/2018  16:57:53";"52,540";
"22/03/2018  18:03:53";"52,082";
"22/03/2018  20:03:53";"51,617";
"22/03/2018  22:03:53";"51,465";
"23/03/2018  00:03:53";"51,499";
"23/03/2018  02:01:53";"51,499";
"23/03/2018  03:15:53";"51,964";
"23/03/2018  05:15:53";"51,930";
"23/03/2018  07:15:53";"51,930";
"23/03/2018  08:57:53";"52,422";
"23/03/2018  09:21:53";"52,846";
"23/03/2018  11:19:53";"52,693";
"23/03/2018  12:15:53";"52,929";
"23/03/2018  12:15:53";"52,929";
"23/03/2018  12:17:19";"52,929";
"23/03/2018  14:17:17";"52,929";
"23/03/2018  16:17:17";"52,693";
"23/03/2018  18:17:17";"52,846";
"23/03/2018  19:19:17";"52,388";
"23/03/2018  21:19:17";"52,388";
"23/03/2018  22:33:17";"51,930";
"23/03/2018  23:55:17";"51,499";
"24/03/2018  01:55:17";"51,659";
"24/03/2018  03:53:17";"51,541";
"24/03/2018  04:53:17";"51,041";
"24/03/2018  06:53:17";"51,076";
"24/03/2018  08:37:17";"51,541";
"24/03/2018  09:09:17";"51,964";
"24/03/2018  09:49:17";"52,311";
"24/03/2018  11:21:17";"52,735";
"24/03/2018  13:19:17";"53,005";
"24/03/2018  15:19:17";"53,005";
"24/03/2018  17:19:17";"52,887";
"24/03/2018  18:27:17";"52,422";
"24/03/2018  20:09:17";"51,964";
"24/03/2018  22:09:17";"52,082";
"25/03/2018  00:07:17";"52,082";
"25/03/2018  03:07:17";"51,930";
"25/03/2018  05:07:17";"52,082";
"25/03/2018  07:05:17";"52,082";
"25/03/2018  09:05:17";"51,930";
"25/03/2018  11:05:17";"52,082";
"25/03/2018  13:05:17";"51,930";
"25/03/2018  14:51:17";"52,388";
"25/03/2018  16:51:17";"52,388";
"25/03/2018  18:51:17";"52,388";
"25/03/2018  20:49:17";"52,540";
"25/03/2018  22:47:17";"52,693";
"26/03/2018  00:35:17";"52,235";
"26/03/2018  02:35:17";"52,117";
"26/03/2018  04:33:17";"51,770";
"26/03/2018  06:33:17";"51,770";
"26/03/2018  08:31:17";"51,659";
"26/03/2018  10:31:17";"51,930";
"26/03/2018  12:31:17";"52,311";
"26/03/2018  14:31:17";"52,693";
"26/03/2018  16:31:17";"52,235";
"26/03/2018  18:29:17";"52,388";
"26/03/2018  20:29:17";"52,082";
"26/03/2018  22:27:17";"52,235";
"27/03/2018  00:27:17";"52,082";
"27/03/2018  02:09:17";"52,582";
"27/03/2018  03:37:17";"52,082";
"27/03/2018  05:37:17";"52,235";
"27/03/2018  07:35:17";"51,964";
"27/03/2018  09:35:17";"52,422";
"27/03/2018  10:59:17";"52,846";
"27/03/2018  12:59:17";"53,151";
"27/03/2018  14:57:17";"53,311";
"27/03/2018  16:57:17";"53,311";
"27/03/2018  18:47:17";"52,846";
"27/03/2018  20:47:17";"52,540";
"27/03/2018  22:47:17";"52,735";
"28/03/2018  00:45:17";"52,846";
"28/03/2018  02:43:17";"52,846";
"28/03/2018  04:43:17";"52,846";
"28/03/2018  06:41:17";"53,040";
"28/03/2018  08:41:17";"53,040";
"28/03/2018  10:41:17";"53,311";
"28/03/2018  12:17:17";"53,658";
"28/03/2018  13:21:17";"54,081";
"28/03/2018  14:13:17";"54,546";
"28/03/2018  16:13:17";"55,039";
"28/03/2018  18:11:17";"54,852";
"28/03/2018  19:49:17";"54,470";
"28/03/2018  20:01:17";"54,158";
"28/03/2018  21:27:17";"53,693";
"28/03/2018  23:25:17";"53,582";
"29/03/2018  00:41:17";"53,082";
"29/03/2018  02:41:17";"52,617";
"29/03/2018  04:39:17";"52,464";
"29/03/2018  06:37:17";"52,311";
"29/03/2018  07:55:17";"51,964";
"29/03/2018  09:13:17";"52,422";
"29/03/2018  09:53:17";"52,887";
"29/03/2018  11:51:17";"53,040";
"29/03/2018  12:43:17";"53,498";
"29/03/2018  14:03:17";"53,929";
"29/03/2018  14:51:17";"54,421";
"29/03/2018  15:45:17";"54,893";
"29/03/2018  17:29:17";"55,351";
"29/03/2018  17:43:17";"55,469";
"29/03/2018  17:45:17";"54,387";
"29/03/2018  17:49:17";"49,931";
"29/03/2018  17:53:17";"47,772";
"29/03/2018  18:01:17";"45,163";
"29/03/2018  18:07:17";"43,636";
"29/03/2018  18:21:17";"41,831";
"29/03/2018  18:41:17";"39,846";
"29/03/2018  18:59:17";"38,430";
"29/03/2018  19:07:17";"37,972";
"29/03/2018  19:21:17";"37,202";
"29/03/2018  19:31:17";"36,744";
"29/03/2018  19:51:17";"35,675";
"29/03/2018  20:05:17";"35,217";
"29/03/2018  20:21:17";"34,453";
"29/03/2018  20:39:17";"33,995";
"29/03/2018  20:53:17";"33,537";
"29/03/2018  21:09:17";"33,079";
"29/03/2018  21:27:17";"32,621";
"29/03/2018  21:43:17";"32,170";
"29/03/2018  22:07:17";"31,712";
"29/03/2018  22:33:17";"31,212";
"29/03/2018  22:55:17";"30,796";
"29/03/2018  23:25:17";"30,337";
"29/03/2018  23:57:17";"29,879";
"30/03/2018  00:29:17";"29,463";
"30/03/2018  00:55:17";"28,970";
"30/03/2018  01:29:17";"28,512";
"30/03/2018  01:57:17";"28,054";
"30/03/2018  02:31:17";"27,638";
"30/03/2018  03:13:17";"27,179";
"30/03/2018  04:01:17";"26,680";
"30/03/2018  05:13:17";"26,270";
"30/03/2018  06:03:17";"25,812";
"30/03/2018  06:57:17";"25,319";
"30/03/2018  08:33:17";"24,896";
"30/03/2018  10:33:17";"24,861";
"30/03/2018  12:31:17";"25,160";
"30/03/2018  14:31:17";"25,659";
"30/03/2018  16:31:17";"25,958";
"30/03/2018  18:29:17";"26,083";
"30/03/2018  20:29:17";"26,083";
"30/03/2018  22:29:17";"25,923";
"30/03/2018  23:53:17";"25,472";
"31/03/2018  01:21:17";"25,014";
"31/03/2018  02:25:17";"24,563";
"31/03/2018  03:29:17";"24,098";
"31/03/2018  05:21:17";"23,647";
"31/03/2018  07:19:17";"23,494";
"31/03/2018  09:19:17";"23,189";
"31/03/2018  11:19:17";"23,341";
"31/03/2018  13:17:17";"23,189";
"31/03/2018  14:25:17";"22,737";
"31/03/2018  15:43:17";"22,432";
"31/03/2018  15:45:17";"25,625";
"31/03/2018  15:47:17";"32,322";
"31/03/2018  15:49:17";"36,133";
"31/03/2018  15:53:17";"39,610";
"31/03/2018  15:57:17";"41,644";
"31/03/2018  16:07:17";"45,163";
"31/03/2018  16:39:17";"52,235";
"31/03/2018  16:49:17";"53,464";
"31/03/2018  16:53:17";"53,005";
"31/03/2018  18:49:17";"52,540";
"31/03/2018  20:47:17";"52,235";
"31/03/2018  22:47:17";"52,388";
"01/04/2018  00:45:17";"52,388";
"01/04/2018  02:43:17";"52,693";
"01/04/2018  04:43:17";"52,388";
"01/04/2018  06:41:17";"52,235";
"01/04/2018  08:41:17";"52,235";
"01/04/2018  10:39:17";"52,693";
"01/04/2018  12:31:17";"53,151";
"01/04/2018  14:31:17";"53,464";
"01/04/2018  16:29:17";"53,464";
"01/04/2018  18:29:17";"53,311";
"01/04/2018  20:03:17";"52,846";
"01/04/2018  21:23:17";"52,388";
"01/04/2018  22:57:17";"51,964";
"02/04/2018  00:57:17";"51,930";
"02/04/2018  02:19:17";"51,465";
"02/04/2018  04:05:17";"51,007";
"02/04/2018  06:05:17";"50,694";
"02/04/2018  08:03:17";"50,736";
"02/04/2018  08:47:17";"51,152";
"02/04/2018  09:13:17";"51,617";
"02/04/2018  10:15:17";"52,082";
"02/04/2018  11:53:17";"52,540";
"02/04/2018  12:47:17";"53,040";
"02/04/2018  14:31:17";"53,498";
"02/04/2018  16:31:17";"53,658";
"02/04/2018  18:31:17";"53,658";
"02/04/2018  20:29:17";"53,658";
"02/04/2018  22:29:17";"53,811";
"03/04/2018  00:29:17";"53,658";
"03/04/2018  02:27:17";"53,658";
"03/04/2018  04:27:17";"53,693";
"03/04/2018  06:25:17";"53,498";
"03/04/2018  08:25:17";"53,658";
"03/04/2018  10:25:17";"53,658";
"03/04/2018  12:23:17";"53,693";
"03/04/2018  14:23:17";"53,658";
"03/04/2018  16:23:17";"54,005";
"03/04/2018  18:21:17";"53,963";
"03/04/2018  20:21:17";"53,963";
"03/04/2018  22:19:17";"53,852";
"04/04/2018  00:19:17";"53,547";
"04/04/2018  02:17:17";"53,929";
"04/04/2018  04:15:17";"53,811";
"04/04/2018  05:47:17";"53,311";
"04/04/2018  07:47:17";"53,547";
"04/04/2018  09:05:17";"53,193";
"04/04/2018  10:15:17";"53,658";
"04/04/2018  12:13:17";"54,005";
"04/04/2018  14:11:17";"54,116";
"04/04/2018  16:11:17";"54,421";
"04/04/2018  18:09:17";"54,005";
"04/04/2018  18:49:17";"53,658";
"04/04/2018  20:47:17";"53,234";
"04/04/2018  22:47:17";"52,929";
"04/04/2018  23:27:17";"53,387";
"05/04/2018  01:27:17";"53,623";
"05/04/2018  02:23:17";"53,193";
"05/04/2018  04:23:17";"53,151";
"05/04/2018  06:21:17";"52,846";
"05/04/2018  08:19:17";"52,846";
"05/04/2018  09:15:17";"53,311";
"05/04/2018  11:09:17";"53,811";
"05/04/2018  13:09:17";"54,234";
"05/04/2018  14:49:17";"54,734";
"05/04/2018  16:47:17";"54,963";
"05/04/2018  18:47:17";"54,852";
"05/04/2018  19:51:17";"54,387";
"05/04/2018  21:09:17";"53,929";
"05/04/2018  23:03:17";"53,582";
