
Time;HTI889I
13/03/2018  17:57:55;57.473
13/03/2018  19:57:53;57.009
13/03/2018  20:07:53;57.280
13/03/2018  20:09:53;57.900
13/03/2018  20:19:53;57.785
13/03/2018  20:23:53;57.473
13/03/2018  20:53:53;57.280
13/03/2018  21:05:53;57.436
13/03/2018  21:21:53;57.280
13/03/2018  21:33:53;57.316
13/03/2018  21:35:53;57.900
13/03/2018  21:39:53;57.785
13/03/2018  21:41:53;57.123
13/03/2018  22:01:53;57.009
13/03/2018  22:03:53;57.785
13/03/2018  22:09:53;57.587
13/03/2018  22:11:53;56.972
13/03/2018  22:31:53;57.123
13/03/2018  22:33:53;57.900
13/03/2018  22:35:53;57.280
13/03/2018  22:53:53;57.243
13/03/2018  23:17:53;56.972
13/03/2018  23:29:53;57.009
13/03/2018  23:31:53;57.785
13/03/2018  23:33:53;57.280
13/03/2018  23:45:53;57.123
13/03/2018  23:47:53;56.472
13/03/2018  23:49:53;57.123
13/03/2018  23:57:53;56.972
13/03/2018  23:59:53;57.629
14/03/2018  00:01:53;57.123
14/03/2018  00:55:53;56.852
14/03/2018  00:57:53;57.629
14/03/2018  01:03:53;57.280
14/03/2018  01:13:53;56.972
14/03/2018  01:25:53;57.165
14/03/2018  01:41:53;57.123
14/03/2018  01:43:53;56.550
14/03/2018  01:47:53;57.123
14/03/2018  02:03:53;56.972
14/03/2018  02:05:53;57.629
14/03/2018  02:07:53;57.123
14/03/2018  02:27:53;57.316
14/03/2018  02:39:53;56.972
14/03/2018  02:51:53;56.852
14/03/2018  02:53:53;57.473
14/03/2018  03:03:53;57.316
14/03/2018  03:05:53;56.706
14/03/2018  03:15:53;56.852
14/03/2018  03:21:53;57.009
14/03/2018  03:49:53;57.009
14/03/2018  03:51:53;57.629
14/03/2018  03:57:53;57.165
14/03/2018  04:35:53;57.009
14/03/2018  05:17:53;56.972
14/03/2018  05:19:54;57.744
14/03/2018  05:29:53;57.587
14/03/2018  05:33:53;57.436
14/03/2018  06:03:53;57.009
14/03/2018  06:15:53;56.852
14/03/2018  06:17:53;57.629
14/03/2018  06:19:53;57.009
14/03/2018  06:31:53;56.972
14/03/2018  07:13:53;56.816
14/03/2018  07:15:53;57.587
14/03/2018  07:21:53;57.165
14/03/2018  07:29:53;57.123
14/03/2018  07:59:53;56.852
14/03/2018  08:11:53;56.816
14/03/2018  08:13:53;57.436
14/03/2018  08:23:53;57.280
14/03/2018  08:27:53;56.930
14/03/2018  08:43:53;57.165
14/03/2018  08:57:53;56.972
14/03/2018  09:09:53;56.972
14/03/2018  09:11:53;57.473
14/03/2018  09:21:53;57.316
14/03/2018  09:25:53;57.009
14/03/2018  10:07:53;57.123
14/03/2018  10:11:53;57.436
14/03/2018  11:21:53;57.280
14/03/2018  11:29:53;57.473
14/03/2018  11:33:53;57.316
14/03/2018  11:35:53;58.088
14/03/2018  11:39:53;57.931
14/03/2018  11:49:53;57.629
14/03/2018  11:51:53;57.123
14/03/2018  11:55:53;57.629
14/03/2018  12:19:53;57.316
14/03/2018  12:31:53;57.473
14/03/2018  12:35:53;57.629
14/03/2018  13:57:53;57.436
14/03/2018  13:59:53;58.202
14/03/2018  14:13:53;57.900
14/03/2018  14:15:53;57.394
14/03/2018  14:29:53;58.166
14/03/2018  14:35:53;57.551
14/03/2018  14:37:53;58.202
14/03/2018  14:45:53;57.280
14/03/2018  14:47:53;57.900
14/03/2018  15:11:53;57.853
14/03/2018  15:41:53;57.436
14/03/2018  15:53:53;57.629
14/03/2018  16:31:53;57.629
14/03/2018  16:33:53;58.249
14/03/2018  16:39:53;57.785
14/03/2018  17:07:53;57.473
14/03/2018  17:09:53;56.972
14/03/2018  17:13:53;57.587
14/03/2018  17:37:53;57.280
14/03/2018  17:53:53;57.629
14/03/2018  18:05:53;57.629
14/03/2018  18:07:53;57.009
14/03/2018  18:09:53;57.587
14/03/2018  19:03:53;57.316
14/03/2018  19:15:53;57.280
14/03/2018  19:17:53;57.900
14/03/2018  19:21:53;57.744
14/03/2018  19:31:53;57.436
14/03/2018  20:29:53;57.087
14/03/2018  20:41:53;57.123
14/03/2018  21:39:53;57.123
14/03/2018  21:41:53;57.785
14/03/2018  21:45:53;57.785
14/03/2018  21:47:53;57.280
14/03/2018  22:09:53;57.316
14/03/2018  22:11:53;57.931
14/03/2018  22:17:53;57.165
14/03/2018  22:19:53;57.744
14/03/2018  22:31:53;57.280
