
Time;HTI892B
13/03/2018  17:57:55;50.075
13/03/2018  19:57:53;49.929
13/03/2018  21:57:53;49.616
13/03/2018  23:57:53;49.579
14/03/2018  01:55:53;49.579
14/03/2018  03:53:53;49.423
14/03/2018  05:53:53;49.731
14/03/2018  07:51:53;49.314
14/03/2018  09:49:53;49.772
14/03/2018  11:49:53;49.772
14/03/2018  13:49:53;50.231
14/03/2018  15:47:53;50.043
14/03/2018  17:45:53;50.195
14/03/2018  19:43:53;49.887
14/03/2018  21:41:53;50.075
14/03/2018  23:41:53;49.887
15/03/2018  00:37:53;49.423
15/03/2018  02:37:53;49.423
15/03/2018  03:51:53;49.772
15/03/2018  05:51:53;49.997
15/03/2018  06:57:53;50.195
15/03/2018  08:55:53;50.195
15/03/2018  10:55:53;50.309
15/03/2018  12:55:53;50.466
15/03/2018  14:53:53;50.309
15/03/2018  16:53:53;50.195
15/03/2018  18:53:53;50.231
15/03/2018  20:53:53;50.231
15/03/2018  22:53:53;50.075
16/03/2018  00:53:53;50.075
16/03/2018  02:51:53;50.075
16/03/2018  04:49:53;49.731
16/03/2018  06:49:53;49.616
16/03/2018  08:49:53;50.075
16/03/2018  10:47:53;49.929
16/03/2018  12:45:53;49.887
16/03/2018  14:45:53;49.929
16/03/2018  16:43:53;50.043
16/03/2018  18:43:53;49.929
16/03/2018  20:09:53;49.731
16/03/2018  22:09:53;49.616
17/03/2018  00:07:53;49.392
17/03/2018  02:05:53;49.470
17/03/2018  03:31:53;49.272
17/03/2018  04:57:53;48.850
17/03/2018  06:55:53;48.808
17/03/2018  08:55:53;49.157
17/03/2018  10:53:53;49.001
17/03/2018  12:51:53;49.272
17/03/2018  14:49:53;49.121
17/03/2018  16:49:53;49.423
17/03/2018  18:47:53;49.423
17/03/2018  20:47:53;48.964
17/03/2018  22:47:53;48.928
18/03/2018  00:47:53;49.079
18/03/2018  02:47:53;48.964
18/03/2018  03:33:53;48.808
18/03/2018  05:33:53;48.542
18/03/2018  07:31:53;48.698
