
Time;HVI881X
04/01/2017  11:44:08;0.920
04/01/2017  11:48:05;0.919
04/01/2017  11:49:06;0.930
04/01/2017  11:50:07;0.922
04/01/2017  11:51:08;0.937
04/01/2017  13:51:06;0.937
04/01/2017  15:51:04;0.912
04/01/2017  17:51:02;0.937
04/01/2017  19:51:00;0.943
04/01/2017  21:50:58;0.914
04/01/2017  23:50:56;0.930
05/01/2017  01:50:54;0.938
05/01/2017  03:50:52;0.914
05/01/2017  05:50:50;0.938
05/01/2017  07:50:48;0.905
05/01/2017  09:50:46;0.930
05/01/2017  11:50:44;0.954
05/01/2017  13:50:42;0.960
05/01/2017  15:50:40;0.915
05/01/2017  17:50:38;0.922
05/01/2017  19:50:36;0.920
05/01/2017  21:50:34;0.927
05/01/2017  23:50:33;0.920
06/01/2017  01:50:30;0.914
06/01/2017  03:50:28;0.914
06/01/2017  05:50:26;0.942
06/01/2017  07:50:24;0.922
06/01/2017  09:50:22;0.905
06/01/2017  11:50:20;0.922
06/01/2017  13:50:18;0.920
06/01/2017  15:50:16;0.920
06/01/2017  17:50:14;0.905
06/01/2017  19:50:12;0.920
06/01/2017  21:50:10;0.914
06/01/2017  23:50:08;0.919
07/01/2017  01:50:06;0.937
07/01/2017  03:50:04;0.904
07/01/2017  05:50:02;0.920
07/01/2017  07:50:00;0.920
07/01/2017  09:49:58;0.904
07/01/2017  11:49:56;0.905
07/01/2017  13:49:54;0.905
07/01/2017  15:49:52;0.927
07/01/2017  17:49:50;0.920
07/01/2017  19:49:48;0.928
07/01/2017  21:49:46;0.897
07/01/2017  23:49:44;0.905
08/01/2017  01:49:42;0.914
08/01/2017  03:49:40;0.899
08/01/2017  05:49:38;0.931
08/01/2017  07:49:36;0.915
08/01/2017  09:49:34;0.922
08/01/2017  11:49:32;0.922
08/01/2017  13:49:30;0.920
08/01/2017  15:49:28;0.904
08/01/2017  17:49:26;0.922
08/01/2017  19:49:24;0.912
08/01/2017  21:49:22;0.922
08/01/2017  23:49:20;0.897
09/01/2017  01:49:18;0.911
09/01/2017  03:49:16;0.920
09/01/2017  05:49:14;0.920
09/01/2017  07:49:12;0.915
09/01/2017  09:49:10;0.937
09/01/2017  11:49:08;0.915
09/01/2017  13:49:06;0.905
09/01/2017  15:49:04;0.904
09/01/2017  17:49:02;0.914
09/01/2017  19:49:00;0.938
09/01/2017  21:48:58;0.899
09/01/2017  23:48:56;0.911
10/01/2017  01:48:54;0.928
10/01/2017  03:48:52;0.904
10/01/2017  05:48:50;0.920
10/01/2017  07:48:48;0.915
10/01/2017  09:48:46;0.911
10/01/2017  11:48:44;0.888
10/01/2017  13:48:42;0.881
10/01/2017  15:48:40;0.920
10/01/2017  17:48:38;0.923
10/01/2017  19:48:36;0.903
10/01/2017  21:48:34;0.907
10/01/2017  23:48:32;0.897
11/01/2017  01:48:30;0.920
11/01/2017  03:48:28;0.888
11/01/2017  05:48:26;0.922
11/01/2017  07:48:24;0.922
11/01/2017  09:48:22;0.897
11/01/2017  11:48:20;0.915
11/01/2017  13:48:18;0.881
11/01/2017  15:48:16;0.904
11/01/2017  17:48:14;0.920
11/01/2017  19:48:12;0.920
11/01/2017  21:48:10;0.920
11/01/2017  23:48:08;0.920
12/01/2017  01:48:06;0.935
12/01/2017  03:48:04;0.920
12/01/2017  05:48:02;0.953
12/01/2017  07:48:00;0.914
12/01/2017  09:47:58;0.897
12/01/2017  11:47:56;0.904
12/01/2017  13:47:54;0.904
12/01/2017  15:47:52;0.914
12/01/2017  17:47:50;0.922
12/01/2017  19:47:48;0.937
12/01/2017  21:47:46;0.920
12/01/2017  23:47:44;0.904
13/01/2017  01:47:42;0.927
13/01/2017  03:47:40;0.914
13/01/2017  05:47:38;0.938
13/01/2017  07:47:36;0.914
13/01/2017  09:47:34;0.904
13/01/2017  11:47:33;0.903
13/01/2017  13:47:30;0.919
13/01/2017  15:47:28;0.920
13/01/2017  16:49:29;0.914
13/01/2017  16:50:30;4.374
13/01/2017  16:51:31;0.937
13/01/2017  17:23:02;0.953
13/01/2017  17:25:04;0.931
13/01/2017  17:26:05;3.013
13/01/2017  17:27:06;75.451
13/01/2017  17:28:07;0.951
13/01/2017  19:28:05;0.947
13/01/2017  21:28:03;0.927
13/01/2017  23:28:01;0.937
14/01/2017  01:27:59;0.969
14/01/2017  03:27:57;0.938
14/01/2017  05:27:55;0.914
14/01/2017  07:27:53;0.954
14/01/2017  09:27:51;0.938
14/01/2017  11:27:49;0.930
14/01/2017  13:27:47;0.945
14/01/2017  15:27:45;0.922
14/01/2017  17:27:43;0.938
14/01/2017  19:27:41;0.938
14/01/2017  21:27:39;0.920
14/01/2017  23:27:37;0.937
15/01/2017  01:27:35;0.953
15/01/2017  03:27:33;0.953
15/01/2017  05:27:31;0.961
15/01/2017  07:27:29;0.945
15/01/2017  09:27:27;0.937
15/01/2017  11:27:25;0.904
15/01/2017  13:27:23;0.931
