HPI602,HPI605
1.81,8.2
1.61,7.9
1.72,8.2
1.66,7.8
1.71,8.1
1.66,7.8
1.71,8.1
1.66,8.1
1.71,8.0
1.66,8.2
1.77,7.8
1.63,8.0
1.73,8.0
1.6,7.7
1.7,8.0
1.66,8.1
1.75,7.6
1.61,7.9
1.8,7.7
1.65,7.9
1.79,8.0
1.65,7.8
1.76,8.1
1.67,7.8
1.72,8.1
1.67,8.2
1.72,7.7
1.59,7.8
1.76,7.8
1.61,7.9
1.76,7.9
1.57,7.7
1.71,8.1
1.62,7.6
1.72,8.1
1.73,8.1
1.66,7.9
1.76,7.6
1.6,7.9
1.78,7.9
1.6,7.9
1.7,8.1
1.58,7.7
1.69,8.1
1.64,7.7
1.7,8.1
1.66,8.1
1.71,8.0
1.67,8.2
1.77,7.8
1.61,8.0
1.77,7.9
1.59,7.8
1.68,8.0
1.64,7.8
1.69,8.0
1.65,7.8
1.68,7.8
1.7,7.6
1.59,7.9
1.76,7.7
1.62,7.9
1.76,8.0
1.62,7.8
1.71,8.1
1.63,7.7
1.68,8.0
1.65,8.1
1.69,7.7
1.59,7.8
1.7,7.7
1.58,7.8
1.74,7.8
1.54,7.7
1.7,8.0
1.59,7.6
1.7,8.1
1.66,7.8
1.71,8.0
1.65,7.8
1.67,7.6
1.61,7.9
1.71,7.9
1.62,7.9
1.72,8.0
1.59,7.7
1.69,8.1
1.64,7.9
1.69,7.7
1.67,7.8
1.67,7.7
1.63,8.0
1.69,8.1
1.62,7.6
1.62,7.8
1.67,7.6
1.62,7.8
1.69,7.7
1.59,7.7
1.69,8.0
1.64,7.6
1.73,7.9
1.69,8.0
1.71,7.9
1.66,7.6
1.66,7.9
1.7,7.8
1.66,8.0
1.69,8.0
1.61,7.8
1.67,8.1
1.64,7.9
1.69,8.1
1.71,7.8
1.63,8.0
1.74,7.8
1.59,7.8
1.7,8.1
1.6,7.7
1.64,7.9
1.61,7.8
1.65,8.0
1.63,7.8
1.61,8.1
1.69,7.7
1.6,8.1
1.78,8.1
1.63,8.0
1.73,8.0
1.61,7.6
1.67,8.0
1.68,8.1
1.64,8.0
1.62,8.1
1.72,7.8
1.57,8.0
1.74,8.0
1.62,8.0
1.74,8.1
1.63,7.8
1.7,8.1
1.64,7.8
1.65,8.0
1.62,8.1
1.71,7.8
1.58,7.9
1.69,7.8
1.56,7.8
1.73,8.0
1.56,7.6
1.66,8.0
1.62,7.5
1.67,8.0
1.67,8.0
1.7,7.7
1.59,7.9
1.72,7.9
1.6,7.9
1.65,8.1
1.61,7.7
1.64,8.1
1.62,8.0
1.7,8.0
1.64,8.0
1.7,8.1
1.67,7.8
1.68,7.8
1.63,7.8
1.68,7.7
1.59,7.8
1.69,7.8
1.57,7.8
1.72,7.9
1.56,7.7
1.71,8.1
1.62,7.6
1.72,8.1
1.68,7.8
1.72,8.0
1.64,8.0
1.72,7.6
1.58,7.8
1.72,7.8
1.56,7.8
1.66,7.8
1.56,7.5
1.67,7.9
1.61,7.5
1.64,7.8
1.63,7.7
1.67,7.9
1.62,7.8
1.67,7.6
1.59,7.8
1.67,7.6
1.56,7.7
1.62,7.9
1.63,7.5
1.57,7.7
1.64,7.6
1.55,7.8
1.68,7.8
1.54,7.5
1.67,8.0
1.58,7.4
1.7,8.0
1.65,7.7
1.7,7.9
1.61,7.9
1.68,7.5
1.58,7.7
1.7,7.7
1.59,7.8
1.72,7.8
1.56,7.6
1.68,7.9
1.59,7.4
1.69,7.9
1.65,7.8
1.65,7.9
1.68,7.6
1.61,7.8
1.72,7.9
1.6,7.6
1.63,7.8
1.59,7.8
1.67,7.6
1.58,7.8
1.69,7.8
1.55,7.6
1.72,8.0
1.64,7.6
1.69,7.9
1.65,7.6
1.64,7.6
1.57,7.7
1.69,7.5
1.53,7.5
1.69,7.5
1.55,7.6
1.69,7.8
1.54,7.3
1.63,7.8
1.64,7.9
1.7,7.6
1.58,7.8
1.72,7.9
1.59,7.7
1.64,7.8
1.57,7.5
1.59,7.9
1.65,7.6
1.58,7.8
1.68,7.9
1.58,7.7
1.72,8.1
1.64,7.7
1.7,8.0
1.64,7.7
1.66,7.8
1.61,7.9
1.69,7.6
1.54,7.6
1.69,7.5
1.57,7.7
1.71,7.7
1.54,7.4
1.64,7.8
1.58,7.3
1.65,7.8
1.67,7.4
1.57,7.7
1.69,7.7
1.62,7.8
1.69,7.9
1.59,7.6
1.64,8.0
1.65,7.5
1.59,7.8
1.68,7.8
1.62,7.9
1.74,8.1
1.64,7.8
1.7,8.1
1.63,7.7
1.69,8.0
1.67,7.8
1.58,7.9
1.69,7.6
1.56,7.8
1.69,7.7
1.54,7.7
1.69,8.0
1.56,7.7
1.71,8.1
1.63,7.7
1.67,7.9
1.67,7.8
1.62,7.9
1.7,7.5
1.57,7.6
1.66,7.6
1.57,7.6
1.69,7.7
1.56,7.4
1.62,7.8
1.62,7.8
1.71,7.8
1.63,7.8
1.68,7.8
1.63,7.4
1.67,7.9
1.63,7.9
1.66,7.7
1.6,8.0
1.68,7.6
1.54,7.7
1.74,7.7
1.61,7.9
1.73,7.9
1.62,7.7
1.67,7.9
1.62,7.6
1.65,7.9
1.62,8.0
1.65,7.6
1.57,7.8
1.66,7.5
1.56,7.7
1.67,7.6
1.58,7.7
1.66,7.9
1.6,7.5
1.7,7.7
1.64,7.8
1.66,7.8
1.58,7.5
1.65,7.8
1.67,7.5
1.56,7.7
1.71,7.4
1.59,7.8
1.71,7.8
1.57,7.7
1.69,7.9
1.62,7.5
1.66,7.8
1.61,7.7
1.59,7.7
1.65,7.8
1.61,7.9
1.7,7.5
1.55,7.7
1.68,7.7
1.52,7.6
1.64,7.8
1.59,7.5
1.58,7.8
1.62,7.3
1.59,7.7
1.67,7.6
1.6,7.7
1.61,7.7
1.66,7.3
1.54,7.6
1.71,7.7
1.54,7.6
1.63,7.7
1.51,7.3
1.62,7.7
1.53,7.3
1.6,7.6
1.6,7.6
1.64,7.6
1.6,7.8
1.64,7.4
1.58,7.6
1.64,7.5
1.56,7.6
1.62,7.4
1.53,7.5
1.67,7.5
1.55,7.5
1.71,7.7
1.51,7.5
1.65,7.9
1.55,7.4
1.66,7.9
1.62,7.6
1.66,7.8
1.6,7.8
1.62,7.4
1.55,7.7
1.66,7.7
1.56,7.7
1.65,7.8
1.56,7.6
1.65,7.5
1.54,7.7
1.75,7.6
1.58,7.6
1.73,7.8
1.6,7.6
1.68,7.9
1.6,7.5
1.66,7.8
1.62,7.5
1.53,7.6
1.65,7.4
1.53,7.6
1.68,7.5
1.57,7.5
1.7,8.0
1.61,7.7
1.7,8.0
1.65,7.6
1.59,7.8
1.67,7.5
1.57,7.5
1.62,7.5
1.62,7.4
1.57,7.7
1.7,7.4
1.6,7.7
1.77,7.7
1.6,7.7
1.72,7.7
1.62,7.4
1.62,7.7
1.64,7.7
1.6,7.7
1.63,7.5
1.6,7.8
1.68,7.4
1.56,7.6
1.71,7.6
1.59,7.7
1.72,7.7
1.6,7.5
1.67,7.8
1.61,7.5
1.64,7.9
1.63,7.5
1.57,7.6
1.62,7.5
1.59,7.7
1.65,7.6
1.6,7.7
1.67,8.0
1.66,8.0
1.74,7.7
1.61,7.8
1.7,7.8
1.55,7.5
1.66,7.9
1.64,7.7
1.6,7.6
1.63,7.7
1.6,7.8
1.62,7.4
1.55,7.7
1.68,7.3
1.57,7.7
1.71,7.7
1.61,7.7
1.66,7.8
1.65,7.4
1.6,7.7
1.68,7.8
1.57,7.6
1.56,7.4
1.61,7.7
1.61,7.8
1.67,7.7
1.63,7.9
1.74,7.6
1.59,7.7
1.74,7.8
1.56,7.6
1.66,7.8
1.59,7.5
1.62,7.6
1.61,7.7
1.57,7.5
1.19,6.6
1.16,6.9
1.22,6.9
1.22,6.9
1.29,7.2
1.21,6.6
1.19,6.9
1.26,7.0
1.19,6.8
1.17,6.5
1.16,6.8
1.21,6.7
1.22,6.7
1.28,7.1
1.2,6.6
1.2,7.0
1.17,6.7
1.17,6.9
1.21,7.0
1.17,6.9
1.24,6.7
1.25,6.7
1.3,7.1
1.24,6.6
1.24,7.0
1.18,6.9
1.21,6.9
1.17,6.7
1.26,7.0
1.2,6.7
1.17,6.8
1.14,6.8
1.15,6.8
1.2,6.9
1.15,6.5
1.14,6.8
1.21,6.6
1.22,6.9
1.28,7.1
1.21,6.6
1.26,7.0
1.19,6.7
1.22,6.8
1.18,7.0
1.22,7.0
1.15,6.8
1.2,6.6
1.13,6.6
1.14,6.9
1.18,6.4
1.18,6.8
1.24,6.9
1.2,6.5
1.2,6.9
1.22,6.9
1.15,6.5
1.17,7.0
1.24,6.9
1.16,6.9
1.19,6.6
1.15,6.9
1.22,6.9
1.17,6.7
1.18,7.0
1.24,6.5
1.21,7.0
1.27,6.9
1.22,7.0
1.27,6.8
1.19,6.8
1.2,7.0
1.24,6.8
1.16,7.0
1.19,6.9
1.13,6.8
1.21,6.7
1.16,6.8
1.16,7.0
1.24,6.5
1.2,6.9
1.26,6.9
1.23,6.6
1.21,7.0
1.26,6.8
1.18,7.0
1.23,7.1
1.22,6.7
1.18,6.9
1.24,6.7
1.19,6.7
1.19,7.0
1.26,6.5
1.23,7.0
1.3,7.0
1.25,6.8
1.26,7.1
1.32,6.8
1.22,7.0
1.26,6.8
1.21,7.0
1.25,6.9
1.2,6.7
1.19,7.0
1.26,6.7
1.18,6.9
1.27,6.8
1.19,6.7
1.25,6.7
1.18,6.8
1.21,6.8
1.18,7.1
1.23,7.0
1.19,6.7
1.19,7.0
1.25,6.7
1.18,7.0
1.23,7.1
1.27,7.2
1.34,6.9
1.25,6.9
