
Time;HVI878Y
23/03/2018  15:45:19;5.705
23/03/2018  17:45:15;5.542
23/03/2018  19:45:13;5.639
23/03/2018  21:45:11;5.606
23/03/2018  23:45:09;5.794
24/03/2018  01:45:07;5.731
24/03/2018  03:45:05;5.616
24/03/2018  05:45:03;5.687
24/03/2018  07:45:01;5.670
24/03/2018  09:44:59;5.769
24/03/2018  09:59:13;5.728
24/03/2018  10:00:14;4.870
24/03/2018  12:00:12;4.844
24/03/2018  14:00:10;4.893
24/03/2018  16:00:08;4.823
24/03/2018  18:00:06;4.893
24/03/2018  20:00:04;4.902
24/03/2018  22:00:02;4.852
25/03/2018  00:00:00;4.942
25/03/2018  01:59:58;4.909
25/03/2018  04:59:56;4.859
25/03/2018  06:59:54;4.860
25/03/2018  08:59:52;4.877
25/03/2018  10:59:50;4.821
25/03/2018  12:59:48;4.875
25/03/2018  14:59:46;4.843
25/03/2018  16:59:44;4.844
25/03/2018  18:59:42;4.859
25/03/2018  20:59:40;4.854
25/03/2018  22:59:38;4.835
26/03/2018  00:59:36;4.877
26/03/2018  02:59:34;4.940
26/03/2018  04:59:32;4.844
26/03/2018  06:59:30;4.796
26/03/2018  08:59:28;4.924
26/03/2018  10:59:26;4.855
26/03/2018  12:59:24;4.746
26/03/2018  14:59:22;4.860
26/03/2018  16:59:20;4.925
26/03/2018  18:59:18;4.859
26/03/2018  20:59:16;4.893
26/03/2018  22:59:14;4.893
27/03/2018  00:59:12;4.909
27/03/2018  02:59:10;4.830
27/03/2018  04:59:08;4.891
27/03/2018  06:59:06;4.886
27/03/2018  08:59:04;4.909
27/03/2018  10:59:02;4.796
27/03/2018  12:59:00;4.854
27/03/2018  14:58:58;5.428
27/03/2018  16:58:56;5.558
27/03/2018  18:58:54;5.410
27/03/2018  20:58:52;5.421
27/03/2018  22:58:50;5.355
28/03/2018  00:58:48;5.519
28/03/2018  02:58:46;5.460
28/03/2018  04:58:44;5.493
28/03/2018  06:58:42;5.631
28/03/2018  08:58:40;5.438
28/03/2018  10:58:38;5.616
28/03/2018  12:58:36;5.486
28/03/2018  14:58:34;5.438
28/03/2018  16:58:32;5.362
28/03/2018  18:58:30;5.396
28/03/2018  20:58:28;5.259
28/03/2018  22:58:26;5.178
29/03/2018  00:58:24;5.410
29/03/2018  02:58:22;5.331
29/03/2018  04:58:20;5.313
29/03/2018  06:58:18;5.274
29/03/2018  08:58:16;5.162
29/03/2018  10:58:14;5.233
29/03/2018  12:58:12;5.233
29/03/2018  14:58:10;5.200
29/03/2018  16:58:08;5.201
29/03/2018  17:42:52;4.942
29/03/2018  17:45:55;0.189
29/03/2018  19:45:53;-0.149
29/03/2018  21:45:51;-0.152
29/03/2018  23:45:49;-0.166
30/03/2018  01:45:47;-0.150
30/03/2018  03:45:45;-0.140
30/03/2018  05:45:43;-0.127
30/03/2018  07:45:41;-0.119
30/03/2018  09:45:39;-0.102
30/03/2018  11:45:37;-0.108
30/03/2018  13:45:35;-0.102
30/03/2018  15:45:33;-0.119
30/03/2018  17:45:31;-0.101
30/03/2018  19:45:29;-0.119
30/03/2018  21:45:27;-0.134
30/03/2018  23:45:25;-0.117
31/03/2018  01:45:23;-0.124
31/03/2018  03:45:21;-0.127
31/03/2018  05:45:19;-0.151
31/03/2018  07:45:17;-0.134
31/03/2018  09:45:15;-0.150
31/03/2018  11:45:13;-0.119
31/03/2018  13:45:11;-0.142
31/03/2018  15:42:06;-0.117
31/03/2018  15:43:07;4.048
