Time;HPDIC059
13/03/2018  18:01:48;0.998
13/03/2018  20:01:40;1.006
13/03/2018  22:01:32;0.989
14/03/2018  00:01:24;0.997
14/03/2018  02:01:16;1.013
14/03/2018  04:01:08;1.003
14/03/2018  06:01:00;1.004
14/03/2018  08:00:52;0.998
14/03/2018  10:00:44;0.998
14/03/2018  12:00:36;1.001
14/03/2018  14:00:28;1.002
14/03/2018  16:00:20;1.009
14/03/2018  18:00:12;1.008
14/03/2018  20:00:04;1.012
14/03/2018  21:59:56;0.996
14/03/2018  23:59:48;0.994
15/03/2018  01:59:40;0.992
15/03/2018  03:59:32;0.997
15/03/2018  05:59:24;0.999
15/03/2018  07:59:16;1.004
15/03/2018  09:59:08;1.005
15/03/2018  11:59:00;1.004
15/03/2018  13:58:52;1.005
15/03/2018  15:58:44;0.995
15/03/2018  17:58:36;0.996
15/03/2018  19:58:28;1.001
15/03/2018  21:58:20;1.002
15/03/2018  23:58:12;0.993
16/03/2018  01:58:04;1.000
16/03/2018  03:57:56;0.993
16/03/2018  05:57:48;0.997
16/03/2018  07:57:40;1.006
16/03/2018  09:57:32;0.990
16/03/2018  11:57:24;1.005
16/03/2018  13:57:16;0.994
16/03/2018  15:57:08;1.000
16/03/2018  17:57:00;0.996
16/03/2018  19:56:52;1.006
16/03/2018  21:56:44;1.008
16/03/2018  23:56:36;1.007
17/03/2018  01:56:28;1.008
17/03/2018  03:56:20;1.003
17/03/2018  05:56:12;1.003
17/03/2018  07:56:04;0.995
17/03/2018  09:55:56;0.989
17/03/2018  11:55:48;0.995
17/03/2018  13:55:40;1.007
17/03/2018  15:55:32;0.999
17/03/2018  17:55:24;0.997
17/03/2018  19:55:16;0.994
17/03/2018  21:55:08;0.998
17/03/2018  23:55:00;1.003
18/03/2018  01:54:52;1.003
18/03/2018  03:54:44;1.042
18/03/2018  05:54:36;1.002
18/03/2018  07:54:28;1.000
18/03/2018  09:54:20;1.006
18/03/2018  11:54:12;1.003
18/03/2018  13:54:04;0.984
18/03/2018  15:53:56;1.004
18/03/2018  17:53:48;1.009
18/03/2018  19:53:40;0.983
18/03/2018  21:53:32;0.996
18/03/2018  23:53:24;1.025
19/03/2018  01:53:16;0.997
19/03/2018  03:53:08;0.997
19/03/2018  05:53:00;1.008
19/03/2018  07:52:52;1.006
19/03/2018  09:52:44;1.003
19/03/2018  11:52:36;0.993
19/03/2018  13:52:28;1.001
19/03/2018  15:52:20;0.997
19/03/2018  17:52:12;1.014
19/03/2018  19:52:04;0.999
19/03/2018  21:51:56;0.994
19/03/2018  23:51:48;1.011
20/03/2018  01:51:40;1.008
20/03/2018  03:51:32;0.986
20/03/2018  05:51:24;1.006
20/03/2018  07:51:16;0.996
20/03/2018  09:51:08;1.005
20/03/2018  11:51:00;1.001
20/03/2018  13:50:52;1.005
20/03/2018  15:50:44;1.011
20/03/2018  17:50:36;1.014
20/03/2018  19:50:28;1.018
20/03/2018  21:50:20;1.001
20/03/2018  23:50:12;0.995
21/03/2018  01:50:04;1.000
21/03/2018  03:49:56;1.008
21/03/2018  05:49:48;0.998
21/03/2018  07:49:40;0.999
21/03/2018  09:49:32;0.992
21/03/2018  11:49:24;0.995
21/03/2018  13:49:16;0.978
21/03/2018  15:49:08;1.023
21/03/2018  17:49:00;0.970
21/03/2018  19:48:52;1.007
21/03/2018  21:48:44;1.005
21/03/2018  23:48:36;0.994
22/03/2018  01:48:28;0.992
22/03/2018  03:48:20;1.002
22/03/2018  05:48:12;0.998
22/03/2018  07:48:04;0.993
22/03/2018  09:47:56;0.992
22/03/2018  11:47:48;0.997
22/03/2018  13:47:40;0.996
22/03/2018  15:47:32;1.010
22/03/2018  17:47:24;0.994
22/03/2018  19:47:16;1.003
22/03/2018  21:47:08;0.980
22/03/2018  23:47:00;0.999
23/03/2018  01:46:52;0.991
23/03/2018  03:46:44;0.999
23/03/2018  05:46:36;1.001
23/03/2018  07:46:28;1.004
23/03/2018  09:46:20;0.993
23/03/2018  11:46:12;1.006
23/03/2018  13:46:04;1.000
23/03/2018  14:16:02;1.003
23/03/2018  14:16:02;1.003
23/03/2018  14:16:38;0.998
23/03/2018  16:16:29;1.004
23/03/2018  18:16:21;1.002
23/03/2018  20:16:13;1.003
23/03/2018  22:16:05;0.996
24/03/2018  00:15:57;1.003
24/03/2018  02:15:49;0.997
24/03/2018  04:15:41;1.004
24/03/2018  06:15:33;0.998
24/03/2018  08:15:25;1.000
24/03/2018  10:15:17;1.009
24/03/2018  12:15:09;0.994
24/03/2018  14:15:01;1.013
24/03/2018  16:14:53;0.989
24/03/2018  18:14:45;0.995
24/03/2018  20:14:37;1.008
24/03/2018  22:14:29;1.007
25/03/2018  00:14:21;0.997
25/03/2018  03:14:13;1.005
25/03/2018  05:14:05;1.003
25/03/2018  07:13:57;1.000
25/03/2018  09:13:49;0.997
25/03/2018  11:13:41;1.004
25/03/2018  13:13:33;0.999
25/03/2018  15:13:25;0.999
25/03/2018  17:13:17;0.998
25/03/2018  19:13:09;1.003
25/03/2018  21:13:01;1.000
25/03/2018  23:12:53;1.003
26/03/2018  01:12:45;1.003
26/03/2018  03:12:37;1.000
26/03/2018  05:12:29;0.999
26/03/2018  07:12:21;1.002
26/03/2018  09:12:13;0.997
26/03/2018  11:12:05;0.998
26/03/2018  13:11:57;1.002
26/03/2018  15:11:49;1.000
26/03/2018  17:11:41;0.998
26/03/2018  19:11:33;1.001
26/03/2018  21:11:25;0.999
26/03/2018  23:11:17;0.999
27/03/2018  01:11:09;1.001
27/03/2018  03:11:01;1.003
27/03/2018  05:10:53;0.997
27/03/2018  07:10:45;0.997
27/03/2018  09:10:37;1.005
27/03/2018  11:10:29;0.998
27/03/2018  13:10:21;0.993
27/03/2018  15:10:13;0.996
27/03/2018  17:10:05;0.997
27/03/2018  19:09:57;0.998
27/03/2018  21:09:49;1.005
27/03/2018  23:09:41;0.999
28/03/2018  01:09:33;1.000
28/03/2018  03:09:25;1.008
28/03/2018  05:09:17;0.994
28/03/2018  07:09:09;0.995
28/03/2018  09:09:01;1.004
28/03/2018  11:08:53;0.997
28/03/2018  13:08:45;1.002
28/03/2018  15:08:37;0.993
28/03/2018  17:08:29;0.989
28/03/2018  19:08:21;1.001
28/03/2018  21:08:13;1.002
28/03/2018  23:08:05;1.002
29/03/2018  01:07:57;1.001
29/03/2018  03:07:49;1.003
29/03/2018  05:07:41;0.997
29/03/2018  07:07:33;0.999
29/03/2018  09:07:25;1.003
29/03/2018  11:07:17;1.001
29/03/2018  13:07:09;0.997
29/03/2018  15:07:01;1.005
29/03/2018  17:06:53;1.000
29/03/2018  19:06:45;0.988
29/03/2018  21:06:37;0.796
29/03/2018  23:06:29;0.317
30/03/2018  01:06:21;0.001
30/03/2018  03:06:13;0.002
30/03/2018  05:06:05;0.002
30/03/2018  07:05:57;0.001
30/03/2018  09:05:49;0.002
30/03/2018  11:05:41;0.002
30/03/2018  13:05:33;0.002
30/03/2018  15:05:25;0.002
30/03/2018  17:05:17;0.002
30/03/2018  19:05:09;0.002
30/03/2018  21:05:01;0.001
30/03/2018  23:04:53;0.002
31/03/2018  01:04:45;0.002
31/03/2018  03:04:37;0.002
31/03/2018  05:04:29;0.002
31/03/2018  07:04:21;0.002
31/03/2018  09:04:13;0.001
31/03/2018  11:04:05;0.002
31/03/2018  13:03:57;0.002
31/03/2018  15:03:49;0.002
31/03/2018  15:42:03;0.746
31/03/2018  17:41:55;1.004
31/03/2018  19:41:47;0.978
31/03/2018  21:41:39;1.010
31/03/2018  23:41:31;0.983
01/04/2018  01:41:23;0.998
01/04/2018  03:41:15;1.020
01/04/2018  05:41:07;1.009
01/04/2018  07:40:59;1.009
01/04/2018  09:40:51;1.011
01/04/2018  11:40:43;1.006
01/04/2018  13:40:35;1.000
01/04/2018  15:40:27;1.004
01/04/2018  17:40:19;1.007
01/04/2018  19:40:11;1.015
01/04/2018  21:40:03;1.000
01/04/2018  23:39:55;0.986
02/04/2018  01:39:47;0.988
02/04/2018  03:39:39;1.000
02/04/2018  05:39:31;1.017
02/04/2018  07:39:23;0.985
02/04/2018  09:39:15;1.001
02/04/2018  11:39:07;0.990
02/04/2018  13:38:59;1.006
02/04/2018  15:38:51;0.996
02/04/2018  17:38:43;0.997
02/04/2018  19:38:35;0.989
02/04/2018  21:38:27;0.993
02/04/2018  23:38:19;0.993
03/04/2018  01:38:11;0.997
03/04/2018  03:38:03;0.979
03/04/2018  05:37:55;0.998
03/04/2018  07:37:47;1.001
03/04/2018  09:37:39;0.972
03/04/2018  11:37:31;1.011
03/04/2018  13:37:23;1.028
03/04/2018  15:37:15;1.014
03/04/2018  17:37:07;1.062
03/04/2018  19:36:59;1.075
03/04/2018  21:36:51;1.062
03/04/2018  23:36:43;0.940
04/04/2018  01:36:35;1.010
04/04/2018  03:36:27;0.992
04/04/2018  05:36:19;0.993
04/04/2018  07:36:11;0.997
04/04/2018  09:36:03;1.004
04/04/2018  11:35:55;0.992
04/04/2018  13:35:47;1.003
04/04/2018  15:35:39;1.022
04/04/2018  17:35:31;0.987
04/04/2018  19:35:23;0.865
04/04/2018  21:35:15;0.804
04/04/2018  23:35:07;1.031
05/04/2018  01:34:59;0.991
05/04/2018  03:34:51;1.034
05/04/2018  05:34:43;0.967
05/04/2018  07:34:35;1.033
05/04/2018  09:34:27;0.975
05/04/2018  11:34:19;0.970
05/04/2018  13:34:11;0.974
05/04/2018  15:34:03;0.990
05/04/2018  17:33:55;1.018
05/04/2018  19:33:47;0.995
05/04/2018  21:33:39;0.997
05/04/2018  23:33:31;0.972
06/04/2018  01:33:23;0.993
06/04/2018  03:33:15;0.977
06/04/2018  05:33:07;1.023
06/04/2018  07:32:59;1.022
06/04/2018  09:32:51;0.985
06/04/2018  11:32:43;1.029
06/04/2018  13:32:35;1.010
06/04/2018  15:32:27;1.005
06/04/2018  17:32:19;1.035
06/04/2018  19:32:11;0.996
06/04/2018  21:32:03;1.009
06/04/2018  23:31:55;0.976
07/04/2018  01:31:47;1.022
07/04/2018  03:31:39;0.978
07/04/2018  05:31:31;0.989
07/04/2018  07:31:23;0.983
07/04/2018  09:31:15;1.034
07/04/2018  11:31:07;1.038
07/04/2018  13:30:59;1.028
07/04/2018  15:30:51;1.032
07/04/2018  17:30:43;1.047
07/04/2018  19:30:35;1.027
07/04/2018  21:30:27;1.004
07/04/2018  23:30:19;0.989
08/04/2018  01:30:11;1.008
08/04/2018  03:30:03;1.044
08/04/2018  05:29:55;1.030
08/04/2018  07:29:47;0.968
08/04/2018  09:29:39;1.034
08/04/2018  11:29:31;0.968
08/04/2018  13:29:23;1.033
08/04/2018  15:29:15;0.994
08/04/2018  17:29:07;0.993
08/04/2018  19:28:59;0.997
08/04/2018  21:28:51;1.036
08/04/2018  23:28:43;0.992
09/04/2018  01:28:35;0.979
09/04/2018  03:28:27;1.046
09/04/2018  05:28:19;1.043
09/04/2018  07:28:11;1.005
09/04/2018  09:28:03;1.024
09/04/2018  11:27:55;0.971
09/04/2018  13:27:47;0.996
09/04/2018  15:27:39;1.026
09/04/2018  17:27:31;0.988
09/04/2018  19:27:23;1.024
09/04/2018  21:27:15;0.961
09/04/2018  23:27:07;1.033
10/04/2018  01:26:59;0.970
10/04/2018  03:26:51;1.023
10/04/2018  05:26:43;0.973
10/04/2018  07:26:35;0.927
10/04/2018  09:26:27;0.985
