Time;HTI893
13/03/2018  17:57:55;46.389
13/03/2018  19:57:53;46.243
13/03/2018  21:57:53;46.087
13/03/2018  23:01:53;45.737
14/03/2018  00:23:53;45.315
14/03/2018  02:21:53;45.164
14/03/2018  04:19:53;45.164
14/03/2018  05:17:53;45.581
14/03/2018  07:17:53;45.435
14/03/2018  08:35:53;45.894
14/03/2018  10:35:53;46.243
14/03/2018  11:57:53;46.702
14/03/2018  13:57:53;46.968
14/03/2018  14:49:53;47.432
14/03/2018  16:49:53;47.619
14/03/2018  17:39:53;47.275
14/03/2018  18:31:53;46.811
14/03/2018  20:01:53;46.352
14/03/2018  22:01:53;46.545
14/03/2018  23:23:53;46.050
15/03/2018  00:05:53;45.628
15/03/2018  00:53:53;45.278
15/03/2018  02:51:53;45.581
15/03/2018  03:13:53;46.050
15/03/2018  04:39:53;46.509
15/03/2018  05:11:53;47.004
15/03/2018  05:45:53;47.395
15/03/2018  07:19:53;47.890
15/03/2018  08:05:53;47.432
15/03/2018  09:27:53;47.890
15/03/2018  11:27:53;48.193
15/03/2018  13:25:53;48.156
15/03/2018  14:15:53;47.812
15/03/2018  16:15:53;47.432
15/03/2018  17:23:53;46.968
15/03/2018  19:23:53;46.509
15/03/2018  21:23:53;46.509
15/03/2018  23:21:53;46.352
16/03/2018  00:01:53;46.660
16/03/2018  01:59:53;46.509
16/03/2018  03:57:53;46.968
16/03/2018  04:15:53;46.050
16/03/2018  06:11:53;45.628
16/03/2018  06:43:53;45.164
16/03/2018  06:57:53;43.323
16/03/2018  07:15:53;44.397
16/03/2018  07:31:53;44.820
16/03/2018  07:43:53;45.435
16/03/2018  08:35:53;45.930
16/03/2018  09:15:53;46.316
16/03/2018  11:15:53;46.660
16/03/2018  12:25:53;46.968
16/03/2018  14:25:53;46.811
16/03/2018  16:25:53;46.858
16/03/2018  18:23:53;46.509
16/03/2018  19:25:53;46.196
16/03/2018  19:51:53;45.737
16/03/2018  21:51:53;45.435
16/03/2018  23:23:53;45.091
17/03/2018  00:07:53;44.627
17/03/2018  02:05:53;45.013
17/03/2018  03:11:53;44.554
17/03/2018  04:13:53;44.204
17/03/2018  05:09:53;43.782
17/03/2018  06:31:53;44.204
17/03/2018  07:25:53;44.627
17/03/2018  08:35:53;44.246
17/03/2018  10:35:53;44.361
17/03/2018  12:33:53;44.361
17/03/2018  14:33:53;44.204
17/03/2018  16:33:53;44.361
17/03/2018  18:31:53;44.476
17/03/2018  20:29:53;44.048
17/03/2018  22:27:53;43.902
18/03/2018  00:01:53;44.283
18/03/2018  01:19:53;43.860
18/03/2018  01:39:53;43.402
18/03/2018  01:53:53;42.943
18/03/2018  02:03:53;42.328
18/03/2018  03:17:53;42.057
18/03/2018  03:39:53;41.598
18/03/2018  04:03:53;41.108
18/03/2018  05:07:53;41.598
18/03/2018  05:25:53;41.947
18/03/2018  05:55:53;42.406
18/03/2018  06:37:53;42.828
18/03/2018  07:05:53;43.323
18/03/2018  08:31:53;43.746
18/03/2018  10:31:53;43.480
18/03/2018  12:29:53;43.443
18/03/2018  14:29:53;43.589
18/03/2018  15:11:53;43.939
18/03/2018  17:09:53;43.746
18/03/2018  19:07:53;43.553
18/03/2018  20:51:53;43.131
18/03/2018  22:41:53;42.672
19/03/2018  00:41:53;42.828
19/03/2018  02:39:53;42.713
19/03/2018  04:37:53;42.406
19/03/2018  06:35:53;42.249
19/03/2018  07:47:53;42.672
19/03/2018  09:45:53;42.943
19/03/2018  11:17:53;43.287
19/03/2018  12:51:53;43.782
19/03/2018  14:49:53;44.204
19/03/2018  16:01:53;43.902
19/03/2018  18:01:53;44.048
19/03/2018  18:43:53;43.631
19/03/2018  18:53:53;43.131
19/03/2018  19:31:53;43.480
19/03/2018  21:29:53;43.589
19/03/2018  23:29:53;43.631
20/03/2018  00:53:53;43.323
20/03/2018  02:53:53;43.323
20/03/2018  04:53:53;43.480
20/03/2018  06:51:53;43.631
20/03/2018  07:03:53;43.287
20/03/2018  08:35:53;43.782
20/03/2018  09:09:53;43.323
20/03/2018  09:23:53;42.713
20/03/2018  10:19:53;42.249
20/03/2018  10:39:53;41.791
20/03/2018  11:39:53;42.249
20/03/2018  12:17:53;41.754
20/03/2018  12:23:53;41.175
20/03/2018  13:23:53;41.645
20/03/2018  14:03:53;41.332
20/03/2018  14:09:53;40.414
20/03/2018  15:09:53;39.956
20/03/2018  15:19:53;39.346
20/03/2018  15:37:53;38.887
20/03/2018  17:29:53;37.046
20/03/2018  17:41:53;37.510
20/03/2018  18:09:53;37.928
20/03/2018  19:27:53;38.115
20/03/2018  19:57:53;38.574
20/03/2018  20:11:53;38.996
20/03/2018  20:21:53;39.497
20/03/2018  20:39:53;39.914
20/03/2018  20:51:53;40.378
20/03/2018  21:19:53;40.837
20/03/2018  21:47:53;41.254
20/03/2018  22:07:53;41.598
20/03/2018  23:19:53;42.057
21/03/2018  00:49:53;41.598
21/03/2018  01:51:53;42.057
21/03/2018  03:49:53;42.213
21/03/2018  05:47:53;42.249
21/03/2018  06:27:53;42.713
21/03/2018  06:45:53;43.131
21/03/2018  06:53:53;42.828
21/03/2018  07:03:53;40.795
21/03/2018  07:29:53;41.175
21/03/2018  07:51:53;41.645
21/03/2018  09:51:53;41.947
21/03/2018  11:35:53;42.369
21/03/2018  11:47:53;42.828
21/03/2018  12:01:53;43.287
21/03/2018  13:15:53;42.865
21/03/2018  13:31:53;42.369
21/03/2018  14:01:53;41.911
21/03/2018  14:21:53;41.447
21/03/2018  15:35:53;40.988
21/03/2018  16:17:53;40.493
21/03/2018  16:53:53;40.988
21/03/2018  17:09:53;41.754
21/03/2018  18:37:53;42.974
21/03/2018  19:21:53;42.515
21/03/2018  20:19:53;42.057
21/03/2018  22:19:53;41.911
22/03/2018  00:17:53;41.488
22/03/2018  02:15:53;41.598
22/03/2018  04:15:53;41.332
22/03/2018  06:13:53;41.645
22/03/2018  08:13:53;41.447
22/03/2018  10:13:53;41.447
22/03/2018  12:11:53;41.254
22/03/2018  13:19:53;41.676
22/03/2018  13:33:53;41.984
22/03/2018  14:41:53;42.328
22/03/2018  15:41:53;42.713
22/03/2018  17:41:53;42.562
22/03/2018  18:45:53;42.098
22/03/2018  20:45:53;41.947
22/03/2018  22:17:53;41.488
22/03/2018  23:25:53;41.947
23/03/2018  01:23:53;41.754
23/03/2018  03:21:53;42.249
23/03/2018  03:55:53;41.791
23/03/2018  05:55:53;42.249
23/03/2018  07:55:53;42.406
23/03/2018  08:45:53;42.865
23/03/2018  09:25:53;42.828
23/03/2018  09:35:53;40.414
23/03/2018  09:49:53;39.799
23/03/2018  09:59:53;39.346
23/03/2018  10:13:53;38.730
23/03/2018  11:21:53;39.153
23/03/2018  12:07:53;39.611
23/03/2018  12:15:53;39.956
23/03/2018  12:15:53;39.956
23/03/2018  12:17:19;40.112
23/03/2018  13:03:17;39.768
23/03/2018  14:05:17;40.185
23/03/2018  14:31:17;39.799
23/03/2018  15:37:17;39.309
23/03/2018  15:51:17;38.694
23/03/2018  16:19:17;37.359
23/03/2018  17:01:17;37.771
23/03/2018  17:15:17;38.115
23/03/2018  17:45:17;37.662
23/03/2018  18:47:17;38.084
23/03/2018  19:35:17;38.574
23/03/2018  20:53:17;39.038
23/03/2018  21:01:17;38.694
23/03/2018  21:07:17;38.084
23/03/2018  21:17:17;38.538
23/03/2018  21:31:17;39.153
23/03/2018  22:05:17;38.730
23/03/2018  22:27:17;38.272
23/03/2018  22:59:17;37.928
24/03/2018  00:59:17;37.625
24/03/2018  01:55:17;38.084
24/03/2018  02:11:17;37.662
24/03/2018  02:37:17;38.084
24/03/2018  02:55:17;38.574
24/03/2018  03:31:17;38.235
24/03/2018  03:55:17;38.652
24/03/2018  04:35:17;38.193
24/03/2018  05:31:17;38.652
24/03/2018  06:29:17;38.235
24/03/2018  08:17:17;38.694
24/03/2018  08:45:17;39.153
24/03/2018  09:31:17;39.611
24/03/2018  10:17:17;40.070
24/03/2018  11:45:17;40.493
24/03/2018  13:43:17;40.607
24/03/2018  15:43:17;40.685
24/03/2018  17:41:17;40.837
24/03/2018  18:37:17;40.493
24/03/2018  19:31:17;40.070
24/03/2018  21:31:17;39.768
24/03/2018  22:27:17;39.611
25/03/2018  00:25:17;39.309
25/03/2018  03:25:17;39.189
25/03/2018  03:41:17;39.611
25/03/2018  03:49:17;39.914
25/03/2018  04:15:17;39.455
25/03/2018  04:37:17;39.038
25/03/2018  05:57:17;38.574
25/03/2018  06:23:17;37.046
25/03/2018  06:41:17;36.588
25/03/2018  07:47:17;37.046
25/03/2018  08:05:17;37.735
25/03/2018  08:11:17;38.084
25/03/2018  08:37:17;38.538
25/03/2018  08:53:17;38.084
25/03/2018  09:31:17;36.285
25/03/2018  10:29:17;36.744
25/03/2018  11:01:17;36.285
25/03/2018  11:49:17;35.978
25/03/2018  12:55:17;36.442
25/03/2018  13:09:17;37.203
25/03/2018  13:21:17;37.510
25/03/2018  13:25:17;38.272
25/03/2018  13:37:17;38.730
25/03/2018  14:31:17;38.235
25/03/2018  14:45:17;37.662
25/03/2018  15:21:17;37.166
25/03/2018  16:03:17;36.822
25/03/2018  18:01:17;37.010
25/03/2018  19:59:17;36.708
25/03/2018  21:05:17;37.166
25/03/2018  23:03:17;37.046
26/03/2018  01:01:17;37.359
26/03/2018  01:25:17;37.813
26/03/2018  01:51:17;38.272
