Fault or maintenance;Start;End
HS110 (C106) sost. elemento filtrante;24.10.2016;27.10.2016
HC106 revisione macchina;17.01.2017;29.08.2017
HPIC619(C106):smontaggio per revisione;22.05.2017;25.05.2017
C106: pulizia filtro HS110;13.11.2017;29.11.2017
HMC106 Revis parz compressore;02.01.2018;29.06.2018
MHC1 HC106 sostituzione HS109S;15.10.2018;27.12.2018
C106: PDCV878, controllo valvola;12.11.2018;29.11.2018
pulizia filtro buffer gas mc106;03.11.2018;03.12.2018
HC106 controllo tenute e avviamento;20.07.2019;31.07.2019
MC106 E120+S Pulizia scambiatore;22.07.2019;11.08.2019
c106_effettuare pulizia su  h20 su e119;13.08.2019;29.08.2019
HMC106: SOSTITUZIONE TENUTE COMPRESSORE;08.02.2020;30.12.2020
